draw_date,draw_id,game,letter,numbers,raw_text,source,url
2025-10-03,4213,govisetha,D,34;40;68;75,"4213 Friday October 03, 2025 D 34 40 68 75",nlb,https://www.nlb.lk/results/govisetha
2025-10-02,4212,govisetha,W,28;32;54;61,"4212 Thursday October 02, 2025 W 28 32 54 61",nlb,https://www.nlb.lk/results/govisetha
2025-10-01,4211,govisetha,G,08;09;19;23,"4211 Wednesday October 01, 2025 G 08 09 19 23",nlb,https://www.nlb.lk/results/govisetha
2025-09-30,4210,govisetha,I,33;34;46;68,"4210 Tuesday September 30, 2025 I 33 34 46 68",nlb,https://www.nlb.lk/results/govisetha
2025-09-29,4209,govisetha,P,10;22;53;60,"4209 Monday September 29, 2025 P 10 22 53 60",nlb,https://www.nlb.lk/results/govisetha
2025-09-28,4208,govisetha,U,05;29;75;76,"4208 Sunday September 28, 2025 U 05 29 75 76",nlb,https://www.nlb.lk/results/govisetha
2025-09-27,4207,govisetha,J,21;33;72;73,"4207 Saturday September 27, 2025 J 21 33 72 73",nlb,https://www.nlb.lk/results/govisetha
2025-09-26,4206,govisetha,J,08;25;49;66,"4206 Friday September 26, 2025 J 08 25 49 66",nlb,https://www.nlb.lk/results/govisetha
2025-09-25,4205,govisetha,Y,09;17;60;68,"4205 Thursday September 25, 2025 Y 09 17 60 68",nlb,https://www.nlb.lk/results/govisetha
2025-09-24,4204,govisetha,Q,33;39;62;73,"4204 Wednesday September 24, 2025 Q 33 39 62 73",nlb,https://www.nlb.lk/results/govisetha
2025-09-23,4203,govisetha,K,10;36;41;70,"4203 Tuesday September 23, 2025 K 10 36 41 70",nlb,https://www.nlb.lk/results/govisetha
2025-09-22,4202,govisetha,L,40;47;73;78,"4202 Monday September 22, 2025 L 40 47 73 78",nlb,https://www.nlb.lk/results/govisetha
2025-09-21,4201,govisetha,Y,04;32;73;78,"4201 Sunday September 21, 2025 Y 04 32 73 78",nlb,https://www.nlb.lk/results/govisetha
2025-09-20,4200,govisetha,T,06;07;49;72,"4200 Saturday September 20, 2025 T 06 07 49 72",nlb,https://www.nlb.lk/results/govisetha
2025-09-19,4199,govisetha,J,11;21;36;60,"4199 Friday September 19, 2025 J 11 21 36 60",nlb,https://www.nlb.lk/results/govisetha
2025-09-18,4198,govisetha,Y,02;03;49;79,"4198 Thursday September 18, 2025 Y 2 3 49 79",nlb,https://www.nlb.lk/results/govisetha
2025-09-17,4197,govisetha,E,03;15;38;49,"4197 Wednesday September 17, 2025 E 03 15 38 49",nlb,https://www.nlb.lk/results/govisetha
2025-09-16,4196,govisetha,L,36;56;65;67,"4196 Tuesday September 16, 2025 L 36 56 65 67",nlb,https://www.nlb.lk/results/govisetha
2025-09-15,4195,govisetha,Z,30;46;68;78,"4195 Monday September 15, 2025 Z 30 46 68 78",nlb,https://www.nlb.lk/results/govisetha
2025-09-14,4194,govisetha,F,40;73;76;80,"4194 Sunday September 14, 2025 F 40 73 76 80",nlb,https://www.nlb.lk/results/govisetha
2025-09-13,4193,govisetha,K,20;25;51;78,"4193 Saturday September 13, 2025 K 20 25 51 78",nlb,https://www.nlb.lk/results/govisetha
2025-09-12,4192,govisetha,W,03;23;38;72,"4192 Friday September 12, 2025 W 03 23 38 72",nlb,https://www.nlb.lk/results/govisetha
2025-09-11,4191,govisetha,B,05;10;26;30,"4191 Thursday September 11, 2025 B 5 10 26 30",nlb,https://www.nlb.lk/results/govisetha
2025-09-10,4190,govisetha,G,24;34;46;69,"4190 Wednesday September 10, 2025 G 24 34 46 69",nlb,https://www.nlb.lk/results/govisetha
2025-09-09,4189,govisetha,N,16;34;62;65,"4189 Tuesday September 09, 2025 N 16 34 62 65",nlb,https://www.nlb.lk/results/govisetha
2025-09-08,4188,govisetha,P,22;28;52;76,"4188 Monday September 08, 2025 P 22 28 52 76",nlb,https://www.nlb.lk/results/govisetha
2025-09-07,4187,govisetha,J,12;26;51;80,"4187 Sunday September 07, 2025 J 12 26 51 80",nlb,https://www.nlb.lk/results/govisetha
2025-09-06,4186,govisetha,O,09;21;29;57,"4186 Saturday September 06, 2025 O 09 21 29 57",nlb,https://www.nlb.lk/results/govisetha
2025-09-05,4185,govisetha,R,09;11;65;75,"4185 Friday September 05, 2025 R 9 11 65 75",nlb,https://www.nlb.lk/results/govisetha
