10_pattern,10_prize,10_total,10_winners,11_pattern,11_prize,11_total,11_winners,12_pattern,12_prize,12_total,12_winners,1_pattern,1_prize,1_total,1_winners,2_pattern,2_prize,2_total,2_winners,3_pattern,3_prize,3_total,3_winners,4_pattern,4_prize,4_total,4_winners,5_pattern,5_prize,5_total,5_winners,6_pattern,6_prize,6_total,6_winners,7_pattern,7_prize,7_total,7_winners,8_pattern,8_prize,8_total,8_winners,9_pattern,9_prize,9_total,9_winners,draw_date,draw_id,game,letter,numbers,raw_text,source,super_prize_pattern,super_prize_prize,super_prize_total,super_prize_winners,url
First 2 Numbers Correct,Rs. 80.00,"Rs. 774,560.00",9682,First Number Correct,Rs. 40.00,"Rs. 3,527,960.00",88199,Letter Correct,Rs. 40.00,"Rs. 1,410,920.00",35273,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,440,000.00",96,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,958,000.00",979,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,962,000.00",9810,Last Number Correct,Rs. 40.00,"Rs. 3,876,400.00",96910,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 184,000.00",92,First 3 Numbers Correct,Rs. 200.00,"Rs. 199,000.00",995,2025-10-03,5971,mahajana_sampatha,N,03;08;03;08;04;00,"5971 Friday October 03, 2025 N 3 8 3 8 4 0",nlb,Letter and 6 Numbers Correct,"Rs. 31,750,704.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 770,400.00",9630,First Number Correct,Rs. 40.00,"Rs. 3,498,480.00",87462,Letter Correct,Rs. 40.00,"Rs. 1,405,960.00",35149,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,485,000.00",99,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,944,000.00",972,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,947,400.00",9737,Last Number Correct,Rs. 40.00,"Rs. 3,853,720.00",96343,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,100,000.00",11,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 188,000.00",94,First 3 Numbers Correct,Rs. 200.00,"Rs. 191,600.00",958,2025-10-02,5970,mahajana_sampatha,N,09;07;06;03;05;08,"5970 Thursday October 02, 2025 N 9 7 6 3 5 8",nlb,Letter and 6 Numbers Correct,"Rs. 31,402,096.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 770,800.00",9635,First Number Correct,Rs. 40.00,"Rs. 3,504,600.00",87615,Letter Correct,Rs. 40.00,"Rs. 1,400,400.00",35010,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,470,000.00",98,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,944,000.00",972,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,947,600.00",9738,Last Number Correct,Rs. 40.00,"Rs. 3,858,200.00",96455,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 210,000.00",105,First 3 Numbers Correct,Rs. 200.00,"Rs. 194,000.00",970,2025-10-01,5969,mahajana_sampatha,X,06;02;02;00;02;05,"5969 Wednesday October 01, 2025 X 6 2 2 0 2 5",nlb,Letter and 6 Numbers Correct,"Rs. 31,011,216.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 778,960.00",9737,First Number Correct,Rs. 40.00,"Rs. 3,512,840.00",87821,Letter Correct,Rs. 40.00,"Rs. 1,405,880.00",35147,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,470,000.00",98,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,938,000.00",969,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,956,200.00",9781,Last Number Correct,Rs. 40.00,"Rs. 3,870,440.00",96761,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,100,000.00",11,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 188,000.00",94,First 3 Numbers Correct,Rs. 200.00,"Rs. 193,400.00",967,2025-09-30,5968,mahajana_sampatha,N,01;04;04;09;03;04,"5968 Tuesday September 30, 2025 N 1 4 4 9 3 4",nlb,Letter and 6 Numbers Correct,"Rs. 30,649,760.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 758,640.00",9483,First Number Correct,Rs. 40.00,"Rs. 3,442,040.00",86051,Letter Correct,Rs. 40.00,"Rs. 1,373,840.00",34346,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,410,000.00",94,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,918,000.00",959,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,907,400.00",9537,Last Number Correct,Rs. 40.00,"Rs. 3,779,760.00",94494,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,100,000.00",11,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 190,000.00",95,First 3 Numbers Correct,Rs. 200.00,"Rs. 187,200.00",936,2025-09-29,5967,mahajana_sampatha,E,01;08;06;08;01;01,"5967 Monday September 29, 2025 E 1 8 6 8 1 1",nlb,Letter and 6 Numbers Correct,"Rs. 30,320,616.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 636,000.00",7950,First Number Correct,Rs. 40.00,"Rs. 2,880,920.00",72023,Letter Correct,Rs. 40.00,"Rs. 1,158,960.00",28974,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 800,000.00",8,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,200,000.00",80,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,592,000.00",796,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,596,800.00",7984,Last Number Correct,Rs. 40.00,"Rs. 3,168,280.00",79207,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 160,000.00",80,First 3 Numbers Correct,Rs. 200.00,"Rs. 156,200.00",781,2025-09-28,5966,mahajana_sampatha,E,08;01;03;05;02;00,"5966 Sunday September 28, 2025 E 8 1 3 5 2 0",nlb,Letter and 6 Numbers Correct,"Rs. 30,115,008.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 720,160.00",9002,First Number Correct,Rs. 40.00,"Rs. 3,278,360.00",81959,Letter Correct,Rs. 40.00,"Rs. 1,307,120.00",32678,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,380,000.00",92,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,804,000.00",902,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,815,400.00",9077,Last Number Correct,Rs. 40.00,"Rs. 3,597,280.00",89932,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 800,000.00",8,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 178,000.00",89,First 3 Numbers Correct,Rs. 200.00,"Rs. 177,400.00",887,2025-09-27,5965,mahajana_sampatha,Q,04;07;04;03;01;08,"5965 Saturday September 27, 2025 Q 4 7 4 3 1 8",nlb,Letter and 6 Numbers Correct,"Rs. 29,789,352.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 747,120.00",9339,First Number Correct,Rs. 40.00,"Rs. 3,414,800.00",85370,Letter Correct,Rs. 40.00,"Rs. 1,368,760.00",34219,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,470,000.00",98,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,906,000.00",953,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,895,200.00",9476,Last Number Correct,Rs. 40.00,"Rs. 3,757,960.00",93949,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 176,000.00",88,First 3 Numbers Correct,Rs. 200.00,"Rs. 187,000.00",935,2025-09-26,5964,mahajana_sampatha,S,05;01;05;01;03;04,"5964 Friday September 26, 2025 S 5 1 5 1 3 4",nlb,Letter and 6 Numbers Correct,"Rs. 29,457,080.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 752,800.00",9410,First Number Correct,Rs. 40.00,"Rs. 3,432,960.00",85824,Letter Correct,Rs. 40.00,"Rs. 1,376,240.00",34406,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,395,000.00",93,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,892,000.00",946,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,911,400.00",9557,Last Number Correct,Rs. 40.00,"Rs. 3,778,360.00",94459,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 800,000.00",8,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 192,000.00",96,First 3 Numbers Correct,Rs. 200.00,"Rs. 187,800.00",939,2025-09-25,5963,mahajana_sampatha,E,01;06;07;01;06;07,"5963 Thursday September 25, 2025 E 1 6 7 1 6 7",nlb,Letter and 6 Numbers Correct,"Rs. 29,040,152.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
First 2 Numbers Correct,Rs. 80.00,"Rs. 764,880.00",9561,First Number Correct,Rs. 40.00,"Rs. 3,484,760.00",87119,Letter Correct,Rs. 40.00,"Rs. 1,390,680.00",34767,6 Numbers Correct,"Rs. 2,500,000.00","Rs. 2,500,000.00",1,Last 5 Numbers Correct,"Rs. 100,000.00","Rs. 1,000,000.00",10,Last 4 Numbers Correct,"Rs. 15,000.00","Rs. 1,425,000.00",95,Last 3 Numbers Correct,"Rs. 2,000.00","Rs. 1,938,000.00",969,Last 2 Numbers Correct,Rs. 200.00,"Rs. 1,934,000.00",9670,Last Number Correct,Rs. 40.00,"Rs. 3,830,120.00",95753,First 5 Numbers Correct,"Rs. 100,000.00","Rs. 900,000.00",9,First 4 Numbers Correct,"Rs. 2,000.00","Rs. 206,000.00",103,First 3 Numbers Correct,Rs. 200.00,"Rs. 191,000.00",955,2025-09-24,5962,mahajana_sampatha,Y,03;05;09;02;09;03,"5962 Wednesday September 24, 2025 Y 3 5 9 2 9 3",nlb,Letter and 6 Numbers Correct,"Rs. 28,654,080.00",Rs. 0.00,0,https://www.nlb.lk/results/mahajana-sampatha
