lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
dlb_kapruka,2025-09-12,2100,1,1,0,0.0,0.0,0.0,0.0,0.0,999,4,0,9,37,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
dlb_kapruka,2025-09-13,2101,2,1,0,0.0,0.0,0.0,0.0,0.0,999,5,1,9,37,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
dlb_kapruka,2025-09-14,2102,3,1,0,0.0,0.0,0.0,0.0,0.0,999,6,1,9,37,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
dlb_kapruka,2025-09-15,2103,4,1,1,0.0,0.0,0.0,0.0,0.0,999,0,0,9,38,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
dlb_kapruka,2025-09-16,2104,5,1,0,1.0,1.0,1.0,1.0,0.2,1,1,0,9,38,0.0,0.0,0.0,0.0,1,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-17,2105,6,1,0,1.0,1.0,1.0,1.0,0.16666666666666666,2,2,0,9,38,0.0,0.0,0.0,0.0,2,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-18,2106,7,1,0,1.0,1.0,1.0,1.0,0.14285714285714285,3,3,0,9,38,0.0,0.0,0.0,0.0,3,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-19,2107,8,1,0,1.0,1.0,1.0,1.0,0.125,4,4,0,9,38,0.0,0.0,0.0,0.0,4,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-20,2108,9,1,0,1.0,1.0,1.0,1.0,0.1111111111111111,5,5,1,9,38,0.0,0.0,0.0,0.0,5,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-21,2109,10,1,0,1.0,1.0,1.0,1.0,0.1,6,6,1,9,38,0.0,0.0,0.0,0.0,6,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-22,2110,11,1,0,1.0,1.0,1.0,1.0,0.09090909090909091,7,0,0,9,39,0.0,0.0,0.0,0.0,7,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-23,2111,12,1,0,1.0,1.0,1.0,1.0,0.08333333333333333,8,1,0,9,39,0.0,0.0,0.0,0.0,8,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-24,2112,13,1,0,1.0,1.0,1.0,1.0,0.07692307692307693,9,2,0,9,39,0.0,0.0,0.0,0.0,9,3.3333333333333335,1,0,heating_up
dlb_kapruka,2025-09-25,2113,14,1,0,1.0,1.0,1.0,1.0,0.07142857142857142,10,3,0,9,39,0.0,0.0,0.0,0.0,10,3.3333333333333335,0,0,heating_up
dlb_kapruka,2025-09-26,2114,15,1,1,0.0,1.0,1.0,1.0,0.06666666666666667,11,4,0,9,39,0.0,0.0,0.0,0.0,11,3.3333333333333335,0,0,cooling_down
dlb_kapruka,2025-09-27,2115,16,1,0,1.0,2.0,2.0,2.0,0.125,1,5,1,9,39,11.0,0.0,11.0,11.0,1,6.666666666666667,1,0,heating_up
dlb_kapruka,2025-09-28,2116,17,1,0,1.0,2.0,2.0,2.0,0.11764705882352941,2,6,1,9,39,11.0,0.0,11.0,11.0,2,6.666666666666667,1,0,heating_up
dlb_kapruka,2025-09-29,2117,18,1,0,1.0,2.0,2.0,2.0,0.1111111111111111,3,0,0,9,40,11.0,0.0,11.0,11.0,3,6.666666666666667,1,0,heating_up
dlb_kapruka,2025-09-30,2118,19,1,1,1.0,2.0,2.0,2.0,0.10526315789473684,4,1,0,9,40,11.0,0.0,11.0,11.0,4,6.666666666666667,1,0,heating_up
dlb_kapruka,2025-10-01,2119,20,1,0,2.0,3.0,3.0,3.0,0.15,1,2,0,10,40,7.5,3.5,4.0,11.0,1,10.0,1,0,heating_up
dlb_kapruka,2025-10-02,2120,21,1,0,2.0,3.0,3.0,3.0,0.14285714285714285,2,3,0,10,40,7.5,3.5,4.0,11.0,2,10.0,1,0,heating_up
dlb_kapruka,2025-10-03,2121,22,1,0,2.0,3.0,3.0,3.0,0.13636363636363635,3,4,0,10,40,7.5,3.5,4.0,11.0,3,10.0,1,0,heating_up
dlb_kapruka,2025-10-04,2122,23,1,0,2.0,3.0,3.0,3.0,0.13043478260869565,4,5,1,10,40,7.5,3.5,4.0,11.0,4,10.0,1,0,heating_up
dlb_kapruka,2025-10-05,2123,24,1,0,2.0,3.0,3.0,3.0,0.125,5,6,1,10,40,7.5,3.5,4.0,11.0,5,10.0,1,0,heating_up
dlb_kapruka,2025-10-06,2124,25,1,0,2.0,3.0,3.0,3.0,0.12,6,0,0,10,41,7.5,3.5,4.0,11.0,6,10.0,1,0,heating_up
dlb_kapruka,2025-10-07,2125,26,1,0,1.0,3.0,3.0,3.0,0.11538461538461539,7,1,0,10,41,7.5,3.5,4.0,11.0,7,10.0,1,0,stable
dlb_kapruka,2025-10-08,2126,27,1,0,1.0,3.0,3.0,3.0,0.1111111111111111,8,2,0,10,41,7.5,3.5,4.0,11.0,8,10.0,1,0,stable
dlb_kapruka,2025-10-09,2127,28,1,0,1.0,3.0,3.0,3.0,0.10714285714285714,9,3,0,10,41,7.5,3.5,4.0,11.0,9,10.0,1,0,stable
dlb_kapruka,2025-10-10,2128,29,1,1,1.0,3.0,3.0,3.0,0.10344827586206896,10,4,0,10,41,7.5,3.5,4.0,11.0,10,10.0,1,0,stable
dlb_kapruka,2025-10-11,2129,30,1,0,1.0,4.0,4.0,4.0,0.13333333333333333,1,5,1,10,41,8.333333333333334,3.0912061651652345,4.0,11.0,1,13.333333333333334,1,0,cooling_down
dlb_kapruka,2025-10-12,2130,31,1,0,1.0,4.0,4.0,4.0,0.12903225806451613,2,6,1,10,41,8.333333333333334,3.0912061651652345,4.0,11.0,2,13.333333333333334,1,0,cooling_down
dlb_kapruka,2025-10-13,2131,32,1,0,1.0,4.0,4.0,4.0,0.125,3,0,0,10,42,8.333333333333334,3.0912061651652345,4.0,11.0,3,13.333333333333334,1,0,cooling_down
dlb_kapruka,2025-10-14,2132,33,1,0,1.0,4.0,4.0,4.0,0.12121212121212122,4,1,0,10,42,8.333333333333334,3.0912061651652345,4.0,11.0,4,13.333333333333334,1,0,cooling_down
dlb_kapruka,2025-10-15,2133,34,1,0,1.0,4.0,4.0,4.0,0.11764705882352941,5,2,0,10,42,8.333333333333334,3.0912061651652345,4.0,11.0,5,13.333333333333334,1,0,cooling_down
dlb_kapruka,2025-10-16,2134,35,1,1,1.0,3.0,4.0,4.0,0.11428571428571428,6,3,0,10,42,8.333333333333334,3.0912061651652345,4.0,11.0,6,10.0,1,0,stable
dlb_kapruka,2025-10-17,2135,36,1,0,2.0,4.0,5.0,5.0,0.1388888888888889,1,4,0,10,42,7.75,2.8613807855648994,4.0,11.0,1,13.333333333333334,1,0,heating_up
