draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url,draw_sequence
2025-06-12,433,ada_sampatha,Ada Sampatha,X,07;06;02;07;06;07,"0433 Thursday June 12, 2025 7 6 2 7 6 7 2 7 6 X",nlb,https://www.nlb.lk/results/ada-sampatha,1
2025-06-13,434,ada_sampatha,Ada Sampatha,Q,07;03;07;07;03;03,"0434 Friday June 13, 2025 7 3 7 7 3 3 7 7 3 Q",nlb,https://www.nlb.lk/results/ada-sampatha,2
2025-06-14,435,ada_sampatha,Ada Sampatha,H,07;00;01;07;00;07,"0435 Saturday June 14, 2025 7 0 1 7 0 7 1 7 0 H",nlb,https://www.nlb.lk/results/ada-sampatha,3
2025-06-15,436,ada_sampatha,Ada Sampatha,H,07;03;05;07;03;00,"0436 Sunday June 15, 2025 7 3 5 7 3 0 5 7 3 H",nlb,https://www.nlb.lk/results/ada-sampatha,4
2025-06-16,437,ada_sampatha,Ada Sampatha,Z,01;09;03;01;09;07,"0437 Monday June 16, 2025 1 9 3 1 9 7 3 1 9 Z",nlb,https://www.nlb.lk/results/ada-sampatha,5
2025-06-17,438,ada_sampatha,Ada Sampatha,E,07;01;02;07;01;04,"0438 Tuesday June 17, 2025 7 1 2 7 1 4 2 7 1 E",nlb,https://www.nlb.lk/results/ada-sampatha,6
2025-06-18,439,ada_sampatha,Ada Sampatha,Q,06;09;00;06;09;00,"0439 Wednesday June 18, 2025 6 9 0 6 9 0 0 6 9 Q",nlb,https://www.nlb.lk/results/ada-sampatha,7
2025-06-19,440,ada_sampatha,Ada Sampatha,O,00;02;06;00;02;04,"0440 Thursday June 19, 2025 0 2 6 0 2 4 6 0 2 O",nlb,https://www.nlb.lk/results/ada-sampatha,8
2025-06-20,441,ada_sampatha,Ada Sampatha,Q,07;02;05;07;02;04,"0441 Friday June 20, 2025 7 2 5 7 2 4 5 7 2 Q",nlb,https://www.nlb.lk/results/ada-sampatha,9
2025-06-21,442,ada_sampatha,Ada Sampatha,A,00;06;08;00;06;04,"0442 Saturday June 21, 2025 0 6 8 0 6 4 8 0 6 A",nlb,https://www.nlb.lk/results/ada-sampatha,10
2025-06-22,443,ada_sampatha,Ada Sampatha,A,06;01;02;06;01;02,"0443 Sunday June 22, 2025 6 1 2 6 1 2 2 6 1 A",nlb,https://www.nlb.lk/results/ada-sampatha,11
2025-06-23,444,ada_sampatha,Ada Sampatha,H,06;07;02;06;07;01,"0444 Monday June 23, 2025 6 7 2 6 7 1 2 6 7 H",nlb,https://www.nlb.lk/results/ada-sampatha,12
2025-06-24,445,ada_sampatha,Ada Sampatha,M,06;04;03;06;04;08,"0445 Tuesday June 24, 2025 6 4 3 6 4 8 3 6 4 M",nlb,https://www.nlb.lk/results/ada-sampatha,13
2025-06-25,446,ada_sampatha,Ada Sampatha,F,08;00;04;08;00;04,"0446 Wednesday June 25, 2025 8 0 4 8 0 4 4 8 0 F",nlb,https://www.nlb.lk/results/ada-sampatha,14
2025-06-26,447,ada_sampatha,Ada Sampatha,R,04;03;09;04;03;03,"0447 Thursday June 26, 2025 4 3 9 4 3 3 9 4 3 R",nlb,https://www.nlb.lk/results/ada-sampatha,15
2025-06-27,448,ada_sampatha,Ada Sampatha,D,06;03;02;06;03;05,"0448 Friday June 27, 2025 6 3 2 6 3 5 2 6 3 D",nlb,https://www.nlb.lk/results/ada-sampatha,16
2025-06-28,449,ada_sampatha,Ada Sampatha,Y,00;06;06;00;06;00,"0449 Saturday June 28, 2025 0 6 6 0 6 0 6 0 6 Y",nlb,https://www.nlb.lk/results/ada-sampatha,17
2025-06-29,450,ada_sampatha,Ada Sampatha,Q,09;08;09;09;08;05,"0450 Sunday June 29, 2025 9 8 9 9 8 5 9 9 8 Q",nlb,https://www.nlb.lk/results/ada-sampatha,18
2025-06-30,451,ada_sampatha,Ada Sampatha,M,01;04;08;01;04;06,"0451 Monday June 30, 2025 1 4 8 1 4 6 8 1 4 M",nlb,https://www.nlb.lk/results/ada-sampatha,19
2025-07-01,452,ada_sampatha,Ada Sampatha,K,07;07;08;07;07;09,"0452 Tuesday July 01, 2025 7 7 8 7 7 9 8 7 7 K",nlb,https://www.nlb.lk/results/ada-sampatha,20
2025-07-02,453,ada_sampatha,Ada Sampatha,R,08;05;06;08;05;07,"0453 Wednesday July 02, 2025 8 5 6 8 5 7 6 8 5 R",nlb,https://www.nlb.lk/results/ada-sampatha,21
2025-07-03,454,ada_sampatha,Ada Sampatha,B,00;08;03;00;08;04,"0454 Thursday July 03, 2025 0 8 3 0 8 4 3 0 8 B",nlb,https://www.nlb.lk/results/ada-sampatha,22
2025-07-04,455,ada_sampatha,Ada Sampatha,W,02;03;04;02;03;06,"0455 Friday July 04, 2025 2 3 4 2 3 6 4 2 3 W",nlb,https://www.nlb.lk/results/ada-sampatha,23
2025-07-05,456,ada_sampatha,Ada Sampatha,V,03;04;08;03;04;01,"0456 Saturday July 05, 2025 3 4 8 3 4 1 8 3 4 V",nlb,https://www.nlb.lk/results/ada-sampatha,24
2025-07-06,457,ada_sampatha,Ada Sampatha,Z,05;05;06;05;05;07,"0457 Sunday July 06, 2025 5 5 6 5 5 7 6 5 5 Z",nlb,https://www.nlb.lk/results/ada-sampatha,25
2025-07-07,458,ada_sampatha,Ada Sampatha,K,04;05;01;04;05;01,"0458 Monday July 07, 2025 4 5 1 4 5 1 1 4 5 K",nlb,https://www.nlb.lk/results/ada-sampatha,26
2025-07-08,459,ada_sampatha,Ada Sampatha,D,03;00;04;03;00;02,"0459 Tuesday July 08, 2025 3 0 4 3 0 2 4 3 0 D",nlb,https://www.nlb.lk/results/ada-sampatha,27
2025-07-09,460,ada_sampatha,Ada Sampatha,U,07;05;04;07;05;09,"0460 Wednesday July 09, 2025 7 5 4 7 5 9 4 7 5 U",nlb,https://www.nlb.lk/results/ada-sampatha,28
