draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url,draw_sequence
2025-06-12,5858,mahajana_sampatha,Mahajana Sampatha,X,08;05;07;02;07;06,"5858 Thursday June 12, 2025 X 8 5 7 2 7 6",nlb,https://www.nlb.lk/results/mahajana-sampatha,1
2025-06-13,5859,mahajana_sampatha,Mahajana Sampatha,Q,02;08;03;07;07;03,"5859 Friday June 13, 2025 Q 2 8 3 7 7 3",nlb,https://www.nlb.lk/results/mahajana-sampatha,2
2025-06-14,5860,mahajana_sampatha,Mahajana Sampatha,H,07;07;07;01;07;00,"5860 Saturday June 14, 2025 H 7 7 7 1 7 0",nlb,https://www.nlb.lk/results/mahajana-sampatha,3
2025-06-15,5861,mahajana_sampatha,Mahajana Sampatha,H,01;06;00;05;07;03,"5861 Sunday June 15, 2025 H 1 6 0 5 7 3",nlb,https://www.nlb.lk/results/mahajana-sampatha,4
2025-06-16,5862,mahajana_sampatha,Mahajana Sampatha,Z,03;09;07;03;01;09,"5862 Monday June 16, 2025 Z 3 9 7 3 1 9",nlb,https://www.nlb.lk/results/mahajana-sampatha,5
2025-06-17,5863,mahajana_sampatha,Mahajana Sampatha,E,08;00;04;02;07;01,"5863 Tuesday June 17, 2025 E 8 0 4 2 7 1",nlb,https://www.nlb.lk/results/mahajana-sampatha,6
2025-06-18,5864,mahajana_sampatha,Mahajana Sampatha,Q,07;07;00;00;06;09,"5864 Wednesday June 18, 2025 Q 7 7 0 0 6 9",nlb,https://www.nlb.lk/results/mahajana-sampatha,7
2025-06-19,5865,mahajana_sampatha,Mahajana Sampatha,O,07;02;04;06;00;02,"5865 Thursday June 19, 2025 O 7 2 4 6 0 2",nlb,https://www.nlb.lk/results/mahajana-sampatha,8
2025-06-20,5866,mahajana_sampatha,Mahajana Sampatha,Q,03;06;04;05;07;02,"5866 Friday June 20, 2025 Q 3 6 4 5 7 2",nlb,https://www.nlb.lk/results/mahajana-sampatha,9
2025-06-21,5867,mahajana_sampatha,Mahajana Sampatha,A,04;01;04;08;00;06,"5867 Saturday June 21, 2025 A 4 1 4 8 0 6",nlb,https://www.nlb.lk/results/mahajana-sampatha,10
2025-06-22,5868,mahajana_sampatha,Mahajana Sampatha,A,02;08;02;02;06;01,"5868 Sunday June 22, 2025 A 2 8 2 2 6 1",nlb,https://www.nlb.lk/results/mahajana-sampatha,11
2025-06-23,5869,mahajana_sampatha,Mahajana Sampatha,H,04;08;01;02;06;07,"5869 Monday June 23, 2025 H 4 8 1 2 6 7",nlb,https://www.nlb.lk/results/mahajana-sampatha,12
2025-06-24,5870,mahajana_sampatha,Mahajana Sampatha,M,07;01;08;03;06;04,"5870 Tuesday June 24, 2025 M 7 1 8 3 6 4",nlb,https://www.nlb.lk/results/mahajana-sampatha,13
2025-06-25,5871,mahajana_sampatha,Mahajana Sampatha,F,03;02;04;04;08;00,"5871 Wednesday June 25, 2025 F 3 2 4 4 8 0",nlb,https://www.nlb.lk/results/mahajana-sampatha,14
2025-06-26,5872,mahajana_sampatha,Mahajana Sampatha,R,08;01;03;09;04;03,"5872 Thursday June 26, 2025 R 8 1 3 9 4 3",nlb,https://www.nlb.lk/results/mahajana-sampatha,15
2025-06-27,5873,mahajana_sampatha,Mahajana Sampatha,D,08;04;05;02;06;03,"5873 Friday June 27, 2025 D 8 4 5 2 6 3",nlb,https://www.nlb.lk/results/mahajana-sampatha,16
2025-06-28,5874,mahajana_sampatha,Mahajana Sampatha,Y,00;07;00;06;00;06,"5874 Saturday June 28, 2025 Y 0 7 0 6 0 6",nlb,https://www.nlb.lk/results/mahajana-sampatha,17
2025-06-29,5875,mahajana_sampatha,Mahajana Sampatha,Q,07;09;05;09;09;08,"5875 Sunday June 29, 2025 Q 7 9 5 9 9 8",nlb,https://www.nlb.lk/results/mahajana-sampatha,18
2025-06-30,5876,mahajana_sampatha,Mahajana Sampatha,M,08;02;06;08;01;04,"5876 Monday June 30, 2025 M 8 2 6 8 1 4",nlb,https://www.nlb.lk/results/mahajana-sampatha,19
2025-07-01,5877,mahajana_sampatha,Mahajana Sampatha,K,05;06;09;08;07;07,"5877 Tuesday July 01, 2025 K 5 6 9 8 7 7",nlb,https://www.nlb.lk/results/mahajana-sampatha,20
2025-07-02,5878,mahajana_sampatha,Mahajana Sampatha,R,09;06;07;06;08;05,"5878 Wednesday July 02, 2025 R 9 6 7 6 8 5",nlb,https://www.nlb.lk/results/mahajana-sampatha,21
2025-07-03,5879,mahajana_sampatha,Mahajana Sampatha,B,03;04;04;03;00;08,"5879 Thursday July 03, 2025 B 3 4 4 3 0 8",nlb,https://www.nlb.lk/results/mahajana-sampatha,22
2025-07-04,5880,mahajana_sampatha,Mahajana Sampatha,W,05;08;06;04;02;03,"5880 Friday July 04, 2025 W 5 8 6 4 2 3",nlb,https://www.nlb.lk/results/mahajana-sampatha,23
