lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_suba_dawasak,2025-07-09,1,1,0,1,0.0,0.0,0.0,0.0,0.0,999,2,0,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-10-16,100,2,0,0,1.0,1.0,1.0,1.0,0.5,99,3,0,10,42,0.0,0.0,0.0,0.0,99,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-17,101,3,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,100,4,0,10,42,0.0,0.0,0.0,0.0,100,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-18,102,4,0,0,1.0,1.0,1.0,1.0,0.25,101,5,1,10,42,0.0,0.0,0.0,0.0,101,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-19,103,5,0,0,1.0,1.0,1.0,1.0,0.2,102,6,1,10,42,0.0,0.0,0.0,0.0,102,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-20,104,6,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,103,0,0,10,43,0.0,0.0,0.0,0.0,103,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-21,105,7,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,104,1,0,10,43,0.0,0.0,0.0,0.0,104,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-22,106,8,0,0,1.0,1.0,1.0,1.0,0.125,105,2,0,10,43,0.0,0.0,0.0,0.0,105,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-23,107,9,0,0,1.0,1.0,1.0,1.0,0.1111111111111111,106,3,0,10,43,0.0,0.0,0.0,0.0,106,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-24,108,10,0,0,1.0,1.0,1.0,1.0,0.1,107,4,0,10,43,0.0,0.0,0.0,0.0,107,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-25,109,11,0,0,1.0,1.0,1.0,1.0,0.09090909090909091,108,5,1,10,43,0.0,0.0,0.0,0.0,108,3.3333333333333335,1,0,heating_up
nlb_suba_dawasak,2025-10-26,110,12,0,0,0.0,1.0,1.0,1.0,0.08333333333333333,109,6,1,10,43,0.0,0.0,0.0,0.0,109,3.3333333333333335,1,0,cooling_down
nlb_suba_dawasak,2025-10-27,111,13,0,1,0.0,1.0,1.0,1.0,0.07692307692307693,110,0,0,10,44,0.0,0.0,0.0,0.0,110,3.3333333333333335,0,0,cooling_down
nlb_suba_dawasak,2025-10-28,112,14,0,0,1.0,2.0,2.0,2.0,0.14285714285714285,1,1,0,10,44,110.0,0.0,110.0,110.0,1,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-10-29,113,15,0,0,1.0,2.0,2.0,2.0,0.13333333333333333,2,2,0,10,44,110.0,0.0,110.0,110.0,2,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-10-30,114,16,0,0,1.0,2.0,2.0,2.0,0.125,3,3,0,10,44,110.0,0.0,110.0,110.0,3,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-10-31,115,17,0,0,1.0,2.0,2.0,2.0,0.11764705882352941,4,4,0,10,44,110.0,0.0,110.0,110.0,4,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-11-01,116,18,0,0,1.0,2.0,2.0,2.0,0.1111111111111111,5,5,1,11,44,110.0,0.0,110.0,110.0,5,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-11-02,117,19,0,0,1.0,2.0,2.0,2.0,0.10526315789473684,6,6,1,11,44,110.0,0.0,110.0,110.0,6,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-11-03,118,20,0,0,1.0,2.0,2.0,2.0,0.1,7,0,0,11,45,110.0,0.0,110.0,110.0,7,6.666666666666667,1,0,heating_up
nlb_suba_dawasak,2025-11-04,119,21,0,0,1.0,2.0,2.0,2.0,0.09523809523809523,8,1,0,11,45,110.0,0.0,110.0,110.0,8,6.666666666666667,0,0,heating_up
nlb_suba_dawasak,2025-11-05,120,22,0,0,1.0,2.0,2.0,2.0,0.09090909090909091,9,2,0,11,45,110.0,0.0,110.0,110.0,9,6.666666666666667,0,0,heating_up
nlb_suba_dawasak,2025-11-06,121,23,0,0,1.0,2.0,2.0,2.0,0.08695652173913043,10,3,0,11,45,110.0,0.0,110.0,110.0,10,6.666666666666667,0,0,heating_up
nlb_suba_dawasak,2025-11-07,122,24,0,0,0.0,2.0,2.0,2.0,0.08333333333333333,11,4,0,11,45,110.0,0.0,110.0,110.0,11,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2025-11-08,123,25,0,0,0.0,2.0,2.0,2.0,0.08,12,5,1,11,45,110.0,0.0,110.0,110.0,12,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2025-11-09,124,26,0,1,0.0,2.0,2.0,2.0,0.07692307692307693,13,6,1,11,45,110.0,0.0,110.0,110.0,13,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2025-11-10,125,27,0,0,1.0,3.0,3.0,3.0,0.1111111111111111,1,0,0,11,46,61.5,48.5,13.0,110.0,1,10.0,1,0,stable
nlb_suba_dawasak,2025-11-11,126,28,0,0,1.0,3.0,3.0,3.0,0.10714285714285714,2,1,0,11,46,61.5,48.5,13.0,110.0,2,10.0,1,0,stable
nlb_suba_dawasak,2025-11-12,127,29,0,1,1.0,3.0,3.0,3.0,0.10344827586206896,3,2,0,11,46,61.5,48.5,13.0,110.0,3,10.0,1,0,stable
nlb_suba_dawasak,2025-11-13,128,30,0,0,2.0,4.0,4.0,4.0,0.13333333333333333,1,3,0,11,46,42.0,48.25626038833372,3.0,110.0,1,13.333333333333334,1,0,heating_up
nlb_suba_dawasak,2025-11-14,129,31,0,0,2.0,4.0,4.0,4.0,0.12903225806451613,2,4,0,11,46,42.0,48.25626038833372,3.0,110.0,2,13.333333333333334,1,0,heating_up
nlb_suba_dawasak,2025-11-15,130,32,0,1,2.0,3.0,4.0,4.0,0.125,3,5,1,11,46,42.0,48.25626038833372,3.0,110.0,3,10.0,1,0,heating_up
nlb_suba_dawasak,2025-11-16,131,33,0,0,3.0,4.0,5.0,5.0,0.15151515151515152,1,6,1,11,46,32.25,45.074244308695846,3.0,110.0,1,13.333333333333334,1,0,heating_up
nlb_suba_dawasak,2025-11-17,132,34,0,1,3.0,4.0,5.0,5.0,0.14705882352941177,2,0,0,11,47,32.25,45.074244308695846,3.0,110.0,2,13.333333333333334,1,0,heating_up
nlb_suba_dawasak,2025-11-18,133,35,0,0,4.0,5.0,6.0,6.0,0.17142857142857143,1,1,0,11,47,26.2,42.092279577138605,2.0,110.0,1,16.666666666666664,1,0,heating_up
nlb_suba_dawasak,2025-11-19,134,36,0,0,4.0,5.0,6.0,6.0,0.16666666666666666,2,2,0,11,47,26.2,42.092279577138605,2.0,110.0,2,16.666666666666664,1,0,heating_up
nlb_suba_dawasak,2025-11-20,135,37,0,0,3.0,5.0,6.0,6.0,0.16216216216216217,3,3,0,11,47,26.2,42.092279577138605,2.0,110.0,3,16.666666666666664,1,0,heating_up
