draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2026-01-11,2871,jayoda,Jayoda,O,12;30;54;62,Draw Number - 2871 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2026-01-11,5206,jayoda,Jayoda,Y,33;48;54;80,Draw Number - 5206 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2026-01-11,4757,jayoda,Jayoda,,09;10;12;34,Draw Number - 4757 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2026-01-11,779,jayoda,Jayoda,U,08;05;04;01,Draw Number - 779 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2026-01-11,3045,jayoda,Jayoda,G,09;47;58;60,Draw Number - 3045 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2026-01-11,2221,jayoda,Jayoda,G,23;28;63;66,Draw Number - 2221 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2025-10-29,2174,jayoda,Jayoda,V,15;30;54;55,Draw Number - 2174 | 2025-Oct-29 Wednesday,dlb,https://www.dlb.lk/result/6/
2026-01-11,253,jayoda,Jayoda,U,04;01;03;03,Draw Number - 253 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/6/
2025-09-15,2161,jayoda,Jayoda,G,22;26;41;51,2161 | 2025-Sep-15 Monday,dlb,https://www.dlb.lk/result/6/
2025-09-10,2160,jayoda,Jayoda,L,27;58;59;68,2160 | 2025-Sep-10 Wednesday,dlb,https://www.dlb.lk/result/6/
2025-09-08,2159,jayoda,Jayoda,I,13;16;57;68,2159 | 2025-Sep-08 Monday,dlb,https://www.dlb.lk/result/6/
2025-09-03,2158,jayoda,Jayoda,U,15;34;41;44,2158 | 2025-Sep-03 Wednesday,dlb,https://www.dlb.lk/result/6/
2025-09-01,2157,jayoda,Jayoda,C,08;09;20;27,2157 | 2025-Sep-01 Monday,dlb,https://www.dlb.lk/result/6/
2025-08-27,2156,jayoda,Jayoda,X,33;37;53;62,2156 | 2025-Aug-27 Wednesday,dlb,https://www.dlb.lk/result/6/
2025-08-25,2155,jayoda,Jayoda,J,18;29;39;62,2155 | 2025-Aug-25 Monday,dlb,https://www.dlb.lk/result/6/
2025-08-20,2154,jayoda,Jayoda,B,08;25;31;38,2154 | 2025-Aug-20 Wednesday,dlb,https://www.dlb.lk/result/6/
2025-08-18,2153,jayoda,Jayoda,Y,06;11;31;44,2153 | 2025-Aug-18 Monday,dlb,https://www.dlb.lk/result/6/
2025-08-13,2152,jayoda,Jayoda,C,11;13;33;57,2152 | 2025-Aug-13 Wednesday,dlb,https://www.dlb.lk/result/6/
