draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2026-01-11,4757,lagna_wasana,Lagna Wasana,,09;10;12;34,4757 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/2/
2026-01-10,4756,lagna_wasana,Lagna Wasana,,27;31;41;57,4756 | 2026-Jan-10 Saturday,dlb,https://www.dlb.lk/result/2/
2026-01-09,4755,lagna_wasana,Lagna Wasana,,16;23;35;53,4755 | 2026-Jan-09 Friday,dlb,https://www.dlb.lk/result/2/
2026-01-08,4754,lagna_wasana,Lagna Wasana,,29;30;53;57,4754 | 2026-Jan-08 Thursday,dlb,https://www.dlb.lk/result/2/
2026-01-07,4753,lagna_wasana,Lagna Wasana,,16;32;43;60,4753 | 2026-Jan-07 Wednesday,dlb,https://www.dlb.lk/result/2/
2026-01-06,4752,lagna_wasana,Lagna Wasana,,11;14;23;37,4752 | 2026-Jan-06 Tuesday,dlb,https://www.dlb.lk/result/2/
2026-01-05,4751,lagna_wasana,Lagna Wasana,,01;06;12;41,4751 | 2026-Jan-05 Monday,dlb,https://www.dlb.lk/result/2/
2026-01-04,4750,lagna_wasana,Lagna Wasana,,28;42;51;54,4750 | 2026-Jan-04 Sunday,dlb,https://www.dlb.lk/result/2/
2026-01-03,4749,lagna_wasana,Lagna Wasana,,10;21;41;57,4749 | 2026-Jan-03 Saturday,dlb,https://www.dlb.lk/result/2/
2026-01-02,4748,lagna_wasana,Lagna Wasana,,20;22;24;59,4748 | 2026-Jan-02 Friday,dlb,https://www.dlb.lk/result/2/
2026-01-01,4747,lagna_wasana,Lagna Wasana,,02;21;54;57,4747 | 2026-Jan-01 Thursday,dlb,https://www.dlb.lk/result/2/
2025-12-31,4746,lagna_wasana,Lagna Wasana,,19;37;38;47,4746 | 2025-Dec-31 Wednesday,dlb,https://www.dlb.lk/result/2/
2025-12-30,4745,lagna_wasana,Lagna Wasana,,02;26;41;55,4745 | 2025-Dec-30 Tuesday,dlb,https://www.dlb.lk/result/2/
2025-12-29,4744,lagna_wasana,Lagna Wasana,,12;19;26;52,4744 | 2025-Dec-29 Monday,dlb,https://www.dlb.lk/result/2/
2025-12-28,4743,lagna_wasana,Lagna Wasana,,24;31;42;48,4743 | 2025-Dec-28 Sunday,dlb,https://www.dlb.lk/result/2/
2025-12-27,4742,lagna_wasana,Lagna Wasana,,18;19;47;60,4742 | 2025-Dec-27 Saturday,dlb,https://www.dlb.lk/result/2/
2025-12-26,4741,lagna_wasana,Lagna Wasana,,12;34;41;57,4741 | 2025-Dec-26 Friday,dlb,https://www.dlb.lk/result/2/
2025-12-25,4740,lagna_wasana,Lagna Wasana,,08;27;50;55,4740 | 2025-Dec-25 Thursday,dlb,https://www.dlb.lk/result/2/
2025-12-24,4739,lagna_wasana,Lagna Wasana,,11;19;21;31,4739 | 2025-Dec-24 Wednesday,dlb,https://www.dlb.lk/result/2/
2025-12-23,4738,lagna_wasana,Lagna Wasana,,05;35;44;62,4738 | 2025-Dec-23 Tuesday,dlb,https://www.dlb.lk/result/2/
2025-12-22,4737,lagna_wasana,Lagna Wasana,,08;14;17;45,4737 | 2025-Dec-22 Monday,dlb,https://www.dlb.lk/result/2/
2025-12-21,4736,lagna_wasana,Lagna Wasana,,16;43;45;53,4736 | 2025-Dec-21 Sunday,dlb,https://www.dlb.lk/result/2/
2025-12-20,4735,lagna_wasana,Lagna Wasana,,03;25;38;53,4735 | 2025-Dec-20 Saturday,dlb,https://www.dlb.lk/result/2/
2025-12-19,4734,lagna_wasana,Lagna Wasana,,15;16;43;45,4734 | 2025-Dec-19 Friday,dlb,https://www.dlb.lk/result/2/
2025-12-18,4733,lagna_wasana,Lagna Wasana,,18;20;26;28,4733 | 2025-Dec-18 Thursday,dlb,https://www.dlb.lk/result/2/
2025-12-17,4732,lagna_wasana,Lagna Wasana,,48;56;57;59,4732 | 2025-Dec-17 Wednesday,dlb,https://www.dlb.lk/result/2/
2025-12-16,4731,lagna_wasana,Lagna Wasana,,02;19;47;48,4731 | 2025-Dec-16 Tuesday,dlb,https://www.dlb.lk/result/2/
2025-12-15,4730,lagna_wasana,Lagna Wasana,,18;22;32;33,4730 | 2025-Dec-15 Monday,dlb,https://www.dlb.lk/result/2/
2025-12-14,4729,lagna_wasana,Lagna Wasana,,14;18;31;58,4729 | 2025-Dec-14 Sunday,dlb,https://www.dlb.lk/result/2/
2025-12-13,4728,lagna_wasana,Lagna Wasana,,04;24;41;61,4728 | 2025-Dec-13 Saturday,dlb,https://www.dlb.lk/result/2/
2025-12-12,4727,lagna_wasana,Lagna Wasana,,06;18;31;42,4727 | 2025-Dec-12 Friday,dlb,https://www.dlb.lk/result/2/
2025-12-11,4726,lagna_wasana,Lagna Wasana,,26;36;41;62,4726 | 2025-Dec-11 Thursday,dlb,https://www.dlb.lk/result/2/
2025-12-10,4725,lagna_wasana,Lagna Wasana,,03;25;51;61,4725 | 2025-Dec-10 Wednesday,dlb,https://www.dlb.lk/result/2/
2025-12-09,4724,lagna_wasana,Lagna Wasana,,01;02;05;23,4724 | 2025-Dec-09 Tuesday,dlb,https://www.dlb.lk/result/2/
2025-12-08,4723,lagna_wasana,Lagna Wasana,,10;30;44;49,4723 | 2025-Dec-08 Monday,dlb,https://www.dlb.lk/result/2/
2025-12-07,4722,lagna_wasana,Lagna Wasana,,02;16;25;44,4722 | 2025-Dec-07 Sunday,dlb,https://www.dlb.lk/result/2/
2025-12-06,4721,lagna_wasana,Lagna Wasana,,05;17;25;58,4721 | 2025-Dec-06 Saturday,dlb,https://www.dlb.lk/result/2/
2025-12-05,4720,lagna_wasana,Lagna Wasana,,10;36;39;44,4720 | 2025-Dec-05 Friday,dlb,https://www.dlb.lk/result/2/
2025-12-04,4719,lagna_wasana,Lagna Wasana,,10;11;25;61,4719 | 2025-Dec-04 Thursday,dlb,https://www.dlb.lk/result/2/
2025-12-03,4718,lagna_wasana,Lagna Wasana,,06;10;24;52,4718 | 2025-Dec-03 Wednesday,dlb,https://www.dlb.lk/result/2/
2025-12-02,4717,lagna_wasana,Lagna Wasana,,07;43;53;61,4717 | 2025-Dec-02 Tuesday,dlb,https://www.dlb.lk/result/2/
2025-12-01,4716,lagna_wasana,Lagna Wasana,,13;25;33;56,4716 | 2025-Dec-01 Monday,dlb,https://www.dlb.lk/result/2/
2025-11-30,4715,lagna_wasana,Lagna Wasana,,12;21;29;56,4715 | 2025-Nov-30 Sunday,dlb,https://www.dlb.lk/result/2/
2025-11-29,4714,lagna_wasana,Lagna Wasana,,29;49;53;62,4714 | 2025-Nov-29 Saturday,dlb,https://www.dlb.lk/result/2/
2025-11-28,4713,lagna_wasana,Lagna Wasana,,12;25;28;55,4713 | 2025-Nov-28 Friday,dlb,https://www.dlb.lk/result/2/
2025-11-27,4712,lagna_wasana,Lagna Wasana,,13;40;43;60,4712 | 2025-Nov-27 Thursday,dlb,https://www.dlb.lk/result/2/
2025-11-26,4711,lagna_wasana,Lagna Wasana,,08;21;43;62,4711 | 2025-Nov-26 Wednesday,dlb,https://www.dlb.lk/result/2/
