draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2026-01-11,779,supiri_dhana_sampatha,Supiri Dhana Sampatha,U,08;05;04;01;03;03,Draw Number - 779 | 2026-Jan-11 Sunday,dlb,https://www.dlb.lk/result/17/
2025-12-29,766,supiri_dhana_sampatha,Supiri Dhana Sampatha,D,08;03;00;01;00;01,766 | 2025-Dec-29 Monday,dlb,https://www.dlb.lk/result/17/
2025-12-28,765,supiri_dhana_sampatha,Supiri Dhana Sampatha,V,07;02;09;01;08;07,765 | 2025-Dec-28 Sunday,dlb,https://www.dlb.lk/result/17/
2025-12-27,764,supiri_dhana_sampatha,Supiri Dhana Sampatha,L,07;01;03;09;03;07,764 | 2025-Dec-27 Saturday,dlb,https://www.dlb.lk/result/17/
2025-12-26,763,supiri_dhana_sampatha,Supiri Dhana Sampatha,P,02;05;05;02;06;00,763 | 2025-Dec-26 Friday,dlb,https://www.dlb.lk/result/17/
2025-12-25,762,supiri_dhana_sampatha,Supiri Dhana Sampatha,F,01;05;09;03;03;06,762 | 2025-Dec-25 Thursday,dlb,https://www.dlb.lk/result/17/
2025-12-24,761,supiri_dhana_sampatha,Supiri Dhana Sampatha,S,04;07;04;00;04;02,761 | 2025-Dec-24 Wednesday,dlb,https://www.dlb.lk/result/17/
2025-12-23,760,supiri_dhana_sampatha,Supiri Dhana Sampatha,F,08;05;06;02;02;06,760 | 2025-Dec-23 Tuesday,dlb,https://www.dlb.lk/result/17/
2025-12-22,759,supiri_dhana_sampatha,Supiri Dhana Sampatha,F,02;06;01;03;06;03,759 | 2025-Dec-22 Monday,dlb,https://www.dlb.lk/result/17/
2025-12-21,758,supiri_dhana_sampatha,Supiri Dhana Sampatha,P,04;04;08;02;07;06,758 | 2025-Dec-21 Sunday,dlb,https://www.dlb.lk/result/17/
2025-12-20,757,supiri_dhana_sampatha,Supiri Dhana Sampatha,B,03;02;05;02;00;00,757 | 2025-Dec-20 Saturday,dlb,https://www.dlb.lk/result/17/
2025-12-19,756,supiri_dhana_sampatha,Supiri Dhana Sampatha,P,07;02;03;04;01;01,756 | 2025-Dec-19 Friday,dlb,https://www.dlb.lk/result/17/
2025-12-18,755,supiri_dhana_sampatha,Supiri Dhana Sampatha,N,00;08;01;03;08;06,755 | 2025-Dec-18 Thursday,dlb,https://www.dlb.lk/result/17/
2025-12-17,754,supiri_dhana_sampatha,Supiri Dhana Sampatha,V,09;04;07;00;07;07,754 | 2025-Dec-17 Wednesday,dlb,https://www.dlb.lk/result/17/
2025-12-16,753,supiri_dhana_sampatha,Supiri Dhana Sampatha,G,04;05;05;01;07;02,753 | 2025-Dec-16 Tuesday,dlb,https://www.dlb.lk/result/17/
2025-12-15,752,supiri_dhana_sampatha,Supiri Dhana Sampatha,J,02;02;08;03;05;09,752 | 2025-Dec-15 Monday,dlb,https://www.dlb.lk/result/17/
2025-12-14,751,supiri_dhana_sampatha,Supiri Dhana Sampatha,C,02;05;03;07;09;05,751 | 2025-Dec-14 Sunday,dlb,https://www.dlb.lk/result/17/
2025-12-13,750,supiri_dhana_sampatha,Supiri Dhana Sampatha,P,04;00;03;02;05;08,750 | 2025-Dec-13 Saturday,dlb,https://www.dlb.lk/result/17/
2025-12-12,749,supiri_dhana_sampatha,Supiri Dhana Sampatha,C,03;09;02;09;05;02,749 | 2025-Dec-12 Friday,dlb,https://www.dlb.lk/result/17/
2025-12-11,748,supiri_dhana_sampatha,Supiri Dhana Sampatha,T,05;07;04;08;05;02,748 | 2025-Dec-11 Thursday,dlb,https://www.dlb.lk/result/17/
2025-12-10,747,supiri_dhana_sampatha,Supiri Dhana Sampatha,C,00;01;08;09;00;03,747 | 2025-Dec-10 Wednesday,dlb,https://www.dlb.lk/result/17/
2025-12-09,746,supiri_dhana_sampatha,Supiri Dhana Sampatha,G,03;01;01;08;07;05,746 | 2025-Dec-09 Tuesday,dlb,https://www.dlb.lk/result/17/
2025-12-08,745,supiri_dhana_sampatha,Supiri Dhana Sampatha,C,00;03;01;08;02;05,745 | 2025-Dec-08 Monday,dlb,https://www.dlb.lk/result/17/
2025-12-07,744,supiri_dhana_sampatha,Supiri Dhana Sampatha,A,07;06;05;00;08;00,744 | 2025-Dec-07 Sunday,dlb,https://www.dlb.lk/result/17/
2025-12-06,743,supiri_dhana_sampatha,Supiri Dhana Sampatha,N,09;07;07;04;05;05,743 | 2025-Dec-06 Saturday,dlb,https://www.dlb.lk/result/17/
2025-12-05,742,supiri_dhana_sampatha,Supiri Dhana Sampatha,A,00;08;02;02;02;08,742 | 2025-Dec-05 Friday,dlb,https://www.dlb.lk/result/17/
2025-12-04,741,supiri_dhana_sampatha,Supiri Dhana Sampatha,P,05;08;01;07;07;00,741 | 2025-Dec-04 Thursday,dlb,https://www.dlb.lk/result/17/
