draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2025-08-31,1968,dhana_nidhanaya,Dhana Nidhanaya,N,01;17;51;76;01,"1968 Sunday August 31, 2025 N 01 17 51 76 Lakshapathi Double Chance No 1 4 5 5 3",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-30,1967,dhana_nidhanaya,Dhana Nidhanaya,V,41;47;73;80;00,"1967 Saturday August 30, 2025 V 41 47 73 80 Lakshapathi Double Chance No 0 3 9 9 7",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-29,1966,dhana_nidhanaya,Dhana Nidhanaya,L,21;31;49;57;09,"1966 Friday August 29, 2025 L 21 31 49 57 Lakshapathi Double Chance No 9 7 9 9 2",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-28,1965,dhana_nidhanaya,Dhana Nidhanaya,G,09;17;53;72;02,"1965 Thursday August 28, 2025 G 09 17 53 72 Lakshapathi Double Chance No 2 8 2 3 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-27,1964,dhana_nidhanaya,Dhana Nidhanaya,H,02;11;47;53;06,"1964 Wednesday August 27, 2025 H 02 11 47 53 Lakshapathi Double Chance No 6 2 4 3 5",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-26,1963,dhana_nidhanaya,Dhana Nidhanaya,A,21;48;58;74;09,"1963 Tuesday August 26, 2025 A 21 48 58 74 Lakshapathi Double Chance No 9 2 4 2 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-25,1962,dhana_nidhanaya,Dhana Nidhanaya,T,13;46;64;68;02,"1962 Monday August 25, 2025 T 13 46 64 68 Lakshapathi Double Chance No 2 6 8 6 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-24,1961,dhana_nidhanaya,Dhana Nidhanaya,Y,53;57;61;68;03,"1961 Sunday August 24, 2025 Y 53 57 61 68 Lakshapathi Double Chance No 3 6 6 7 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-23,1960,dhana_nidhanaya,Dhana Nidhanaya,J,20;22;32;34;04,"1960 Saturday August 23, 2025 J 20 22 32 34 Lakshapathi Double Chance No 4 4 9 5 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-08-22,1959,dhana_nidhanaya,Dhana Nidhanaya,E,07;10;38;59;04,"1959 Friday August 22, 2025 E 7 10 38 59 Lakshapathi Double Chance No 4 8 7 6 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
