draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2025-08-31,1247,handahana,Handahana,,04;32;45;47;02;06,"1247 Sunday August 31, 2025 PISCES 04 32 45 47 Dhanayogaya 2 6 5 5 1",nlb,https://www.nlb.lk/results/handahana
2025-08-30,1246,handahana,Handahana,,03;19;30;52;06;02,"1246 Saturday August 30, 2025 ARIES 3 19 30 52 Dhanayogaya 6 2 8 8 9",nlb,https://www.nlb.lk/results/handahana
2025-08-29,1245,handahana,Handahana,,05;28;41;56;05;07,"1245 Friday August 29, 2025 VIRGO 5 28 41 56 Dhanayogaya 5 7 8 1 7",nlb,https://www.nlb.lk/results/handahana
2025-08-28,1244,handahana,Handahana,,16;28;37;46;03;09,"1244 Thursday August 28, 2025 LEO 16 28 37 46 Dhanayogaya 3 9 2 1 0",nlb,https://www.nlb.lk/results/handahana
2025-08-27,1243,handahana,Handahana,,22;34;47;62;02;08,"1243 Wednesday August 27, 2025 TAURUS 22 34 47 62 Dhanayogaya 2 8 8 7 1",nlb,https://www.nlb.lk/results/handahana
2025-08-26,1242,handahana,Handahana,,27;32;45;56;02;01,"1242 Tuesday August 26, 2025 VIRGO 27 32 45 56 Dhanayogaya 2 1 5 1 3",nlb,https://www.nlb.lk/results/handahana
2025-08-25,1241,handahana,Handahana,,06;18;31;52;08;03,"1241 Monday August 25, 2025 LIBRA 06 18 31 52 Dhanayogaya 8 3 0 4 4",nlb,https://www.nlb.lk/results/handahana
2025-08-24,1240,handahana,Handahana,,04;31;44;60;01;05,"1240 Sunday August 24, 2025 SAGITTARIUS 04 31 44 60 Dhanayogaya 1 5 4 0 7",nlb,https://www.nlb.lk/results/handahana
2025-08-23,1239,handahana,Handahana,,07;22;25;44;07;05,"1239 Saturday August 23, 2025 LIBRA 07 22 25 44 Dhanayogaya 7 5 2 8 6",nlb,https://www.nlb.lk/results/handahana
2025-08-22,1238,handahana,Handahana,,19;28;47;59;01;04,"1238 Friday August 22, 2025 LIBRA 19 28 47 59 Dhanayogaya 1 4 3 2 3",nlb,https://www.nlb.lk/results/handahana
2025-08-21,1237,handahana,Handahana,,16;25;28;58;07;07,"1237 Thursday August 21, 2025 SCORPIO 16 25 28 58 Dhanayogaya 7 7 1 5 7",nlb,https://www.nlb.lk/results/handahana
2025-08-20,1236,handahana,Handahana,,17;33;39;42;08;03,"1236 Wednesday August 20, 2025 GEMINI 17 33 39 42 Dhanayogaya 8 3 2 5 0",nlb,https://www.nlb.lk/results/handahana
