lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
dlb_jaya_sampatha,2025-12-15,226,127,8,1,7.0,12.0,19.0,46.0,0.3622047244094488,2,0,0,12,51,2.7333333333333334,1.8061622912192088,1.0,9.0,2,40.0,1,0,heating_up
dlb_jaya_sampatha,2025-11-04,185,86,9,1,5.0,10.0,18.0,31.0,0.3604651162790697,1,1,0,11,45,2.7666666666666666,1.7065234314893605,1.0,7.0,1,33.33333333333333,0,0,heating_up
dlb_jaya_sampatha,2025-12-31,242,143,6,0,5.0,8.0,13.0,41.0,0.2867132867132867,5,2,0,12,1,3.275,3.217044451045089,1.0,16.0,5,26.666666666666668,0,1,heating_up
dlb_jaya_sampatha,2025-12-02,213,114,0,0,5.0,12.0,16.0,39.0,0.3421052631578947,1,1,0,12,49,2.921052631578948,2.6594575915852543,1.0,13.0,1,40.0,1,0,heating_up
dlb_jaya_sampatha,2025-10-25,175,76,3,1,3.0,9.0,19.0,29.0,0.3815789473684211,3,5,1,10,43,2.571428571428572,1.613084255805174,1.0,7.0,3,30.0,0,0,stable
dlb_jaya_sampatha,2025-08-26,115,16,1,0,5.0,6.0,6.0,6.0,0.375,2,1,0,8,35,2.2,0.7483314773547882,1.0,3.0,2,20.0,0,0,heating_up
dlb_jaya_sampatha,2025-11-21,202,103,5,0,4.0,13.0,23.0,37.0,0.3592233009708738,1,4,0,11,47,2.7222222222222223,2.3875965496604774,1.0,10.0,1,43.333333333333336,1,0,cooling_down
dlb_jaya_sampatha,2025-09-24,144,45,2,0,3.0,8.0,11.0,11.0,0.2444444444444444,2,2,0,9,39,3.5,2.247220505424423,1.0,8.0,2,26.666666666666668,0,0,heating_up
dlb_jaya_sampatha,2025-12-30,241,142,2,0,5.0,12.0,19.0,46.0,0.323943661971831,4,1,0,12,1,2.888888888888889,1.766631725720159,1.0,8.0,4,40.0,0,0,heating_up
dlb_jaya_sampatha,2025-08-23,112,13,3,0,3.0,4.0,4.0,4.0,0.3076923076923077,1,5,1,8,34,3.6666666666666665,2.3570226039551585,2.0,7.0,1,13.333333333333334,0,0,heating_up
