lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
dlb_jayoda,2025-10-15,2170,71,63,0,1.0,1.0,2.0,3.0,0.0422535211267605,16,2,0,10,42,94.5,10.5,84.0,105.0,16,3.333333333333333,0,1,heating_up
dlb_jayoda,2025-02-10,2102,3,66,0,0.0,0.0,0.0,0.0,0.0,999,0,0,2,7,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
dlb_jayoda,2025-03-05,2109,10,49,0,2.0,2.0,2.0,2.0,0.2,9,2,0,3,10,5.0,0.0,5.0,5.0,9,6.666666666666667,1,0,heating_up
dlb_jayoda,2025-08-04,2149,50,40,0,2.0,4.0,4.0,4.0,0.08,5,0,0,8,32,24.0,7.118052168020874,14.0,30.0,5,13.333333333333334,1,0,heating_up
dlb_jayoda,2025-06-16,2135,36,6,0,0.0,2.0,3.0,3.0,0.0833333333333333,98,0,0,6,25,14.0,0.0,14.0,14.0,98,6.666666666666667,0,0,cooling_down
dlb_jayoda,2025-10-20,2171,72,33,0,0.0,2.0,4.0,5.0,0.0694444444444444,54,0,0,10,43,40.75,30.359306645574105,7.0,72.0,54,6.666666666666667,0,0,cooling_down
dlb_jayoda,2025-05-21,2128,29,60,0,1.0,3.0,3.0,3.0,0.1034482758620689,30,2,0,5,21,35.0,7.0,28.0,42.0,30,10.0,1,0,stable
dlb_jayoda,2025-08-18,2153,54,12,0,2.0,3.0,4.0,4.0,0.074074074074074,21,0,0,8,34,55.333333333333336,46.991725039864434,7.0,119.0,21,10.0,1,0,heating_up
dlb_jayoda,2025-10-15,2170,71,5,0,1.0,2.0,2.0,4.0,0.056338028169014,16,2,0,10,42,67.0,34.75629439396553,21.0,105.0,16,6.666666666666667,0,0,heating_up
dlb_jayoda,2025-10-01,2166,67,2,0,0.0,2.0,3.0,3.0,0.044776119402985,51,2,0,10,40,63.0,30.0,33.0,93.0,51,6.666666666666667,0,0,cooling_down
dlb_jayoda,2025-02-10,2102,3,43,0,0.0,0.0,0.0,0.0,0.0,999,0,0,2,7,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
dlb_jayoda,2025-05-28,2130,31,3,0,1.0,3.0,3.0,3.0,0.0967741935483871,30,2,0,5,22,41.0,34.0,7.0,75.0,30,10.0,1,0,stable
dlb_jayoda,2025-04-21,2120,21,4,0,0.0,3.0,3.0,3.0,0.1428571428571428,47,0,0,4,17,3.5,1.5,2.0,5.0,47,10.0,1,0,cooling_down
dlb_jayoda,2025-02-05,2101,2,15,0,0.0,0.0,0.0,0.0,0.0,999,2,0,2,6,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
dlb_jayoda,2025-06-09,2133,34,7,0,3.0,4.0,4.0,4.0,0.1176470588235294,7,0,0,6,24,35.0,27.796882319185844,5.0,72.0,7,13.333333333333334,1,0,heating_up
dlb_jayoda,2025-07-14,2143,44,25,0,2.0,2.0,4.0,4.0,0.0909090909090909,14,0,0,7,29,46.0,41.88078318274385,12.0,105.0,14,6.666666666666667,0,0,heating_up
dlb_jayoda,2025-03-17,2112,13,54,0,1.0,1.0,1.0,1.0,0.0769230769230769,14,0,0,3,12,0.0,0.0,0.0,0.0,14,3.333333333333333,1,0,heating_up
dlb_jayoda,2025-08-18,2153,54,31,1,1.0,2.0,2.0,2.0,0.037037037037037,26,0,0,8,34,49.0,0.0,49.0,49.0,26,6.666666666666667,0,0,heating_up
dlb_jayoda,2025-05-28,2130,31,37,0,0.0,4.0,4.0,4.0,0.1290322580645161,56,2,0,5,22,11.666666666666666,11.614167593456232,2.0,28.0,56,13.333333333333334,1,0,cooling_down
dlb_jayoda,2025-08-06,2150,51,14,0,0.0,0.0,3.0,3.0,0.0588235294117647,142,2,0,8,32,13.0,6.0,7.0,19.0,142,0.0,0,1,stable
dlb_jayoda,2025-09-17,2162,63,41,0,2.0,3.0,5.0,5.0,0.0793650793650793,2,2,0,9,38,39.75,18.511820547963403,12.0,61.0,2,10.0,1,0,heating_up
