lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
dlb_sasiri,2025-08-01,738,636,43,0,0.0,1.0,3.0,40.0,0.0628930817610062,40,4,0,8,31,32.94871794871795,34.00750197624102,2.0,154.0,40,3.333333333333333,0,0,cooling_down
dlb_sasiri,2023-08-18,364,262,22,0,2.0,5.0,7.0,20.0,0.0763358778625954,10,4,0,8,33,28.36842105263158,27.007232026208303,3.0,107.0,10,16.666666666666664,1,0,heating_up
dlb_sasiri,2025-06-21,709,607,13,0,0.0,1.0,2.0,35.0,0.057660626029654,20,5,1,6,25,36.02941176470589,45.17188434134774,1.0,226.0,20,3.333333333333333,0,1,cooling_down
dlb_sasiri,2022-12-20,264,162,39,0,1.0,3.0,5.0,11.0,0.0679012345679012,14,1,0,12,51,30.5,11.526057435220425,7.0,49.0,14,10.0,1,0,stable
dlb_sasiri,2022-11-11,247,145,41,0,1.0,4.0,7.0,18.0,0.1241379310344827,14,4,0,11,45,20.11764705882353,12.782719737029067,3.0,43.0,14,13.333333333333334,1,0,cooling_down
dlb_sasiri,2023-02-14,288,186,28,0,0.0,2.0,3.0,13.0,0.0698924731182795,49,1,0,2,7,32.0,30.62406461156542,3.0,107.0,49,6.666666666666667,0,0,cooling_down
dlb_sasiri,2025-06-20,708,606,30,0,0.0,2.0,3.0,23.0,0.0379537953795379,20,4,0,6,25,58.36363636363637,57.23599110425145,4.0,228.0,20,6.666666666666667,0,0,cooling_down
dlb_sasiri,2023-12-03,410,308,48,0,0.0,3.0,4.0,20.0,0.0649350649350649,33,6,1,12,48,36.63157894736842,35.66394394212347,2.0,114.0,33,10.0,1,0,cooling_down
dlb_sasiri,2023-01-08,272,170,20,0,1.0,2.0,3.0,11.0,0.0647058823529411,14,6,1,1,1,38.2,21.428019040499287,10.0,83.0,14,6.666666666666667,0,0,heating_up
dlb_sasiri,2021-12-31,115,16,17,0,1.0,1.0,1.0,1.0,0.0625,9,4,0,12,52,0.0,0.0,0.0,0.0,9,3.333333333333333,0,0,heating_up
dlb_sasiri,2022-11-27,254,152,6,0,3.0,4.0,4.0,11.0,0.0723684210526315,2,6,1,11,47,32.9,25.53996867656654,4.0,73.0,2,13.333333333333334,1,0,heating_up
dlb_sasiri,2023-11-24,406,304,34,0,1.0,1.0,1.0,13.0,0.0427631578947368,10,4,0,11,47,53.66666666666666,38.3586872675394,5.0,126.0,10,3.333333333333333,0,1,heating_up
dlb_sasiri,2024-03-12,453,351,36,0,0.0,2.0,2.0,15.0,0.0427350427350427,44,1,0,3,11,49.85714285714285,67.1914717620549,2.0,245.0,44,6.666666666666667,0,0,cooling_down
dlb_sasiri,2022-04-08,157,58,13,0,0.0,0.0,1.0,1.0,0.0172413793103448,75,4,0,4,14,0.0,0.0,0.0,0.0,75,0.0,0,1,stable
dlb_sasiri,2025-12-05,838,736,34,0,0.0,2.0,2.0,38.0,0.0516304347826086,26,4,0,12,49,37.02702702702703,35.7343702265166,1.0,140.0,26,6.666666666666667,0,0,cooling_down
dlb_sasiri,2025-11-29,832,730,15,0,0.0,0.0,1.0,44.0,0.0602739726027397,50,5,1,11,48,33.093023255813954,30.874700980371717,2.0,119.0,50,0.0,0,1,stable
dlb_sasiri,2025-05-25,690,588,8,0,0.0,0.0,0.0,28.0,0.0476190476190476,85,6,1,5,21,42.14814814814815,34.62144882573326,3.0,138.0,85,0.0,0,1,stable
dlb_sasiri,2025-12-18,851,749,12,0,0.0,1.0,2.0,47.0,0.0627503337783711,14,3,0,12,51,31.30434782608696,28.690150987840823,1.0,138.0,14,3.333333333333333,0,1,cooling_down
dlb_sasiri,2025-02-21,627,525,17,0,0.0,0.0,2.0,31.0,0.059047619047619,59,4,0,2,8,36.6,39.88282838515845,2.0,184.0,59,0.0,0,1,stable
dlb_sasiri,2023-02-07,285,183,21,0,1.0,2.0,2.0,6.0,0.0327868852459016,7,1,0,2,6,87.4,72.8768824799744,35.0,231.0,7,6.666666666666667,0,0,heating_up
dlb_sasiri,2023-06-30,343,241,12,0,2.0,4.0,5.0,18.0,0.0746887966804979,5,4,0,6,26,32.1764705882353,29.05620373996828,2.0,94.0,5,13.333333333333334,1,0,heating_up
dlb_sasiri,2022-05-20,172,73,13,0,1.0,1.0,2.0,2.0,0.0273972602739726,3,4,0,5,20,114.0,0.0,114.0,114.0,3,3.333333333333333,0,1,heating_up
dlb_sasiri,2025-06-20,708,606,10,0,0.0,0.0,0.0,30.0,0.0495049504950495,124,4,0,6,25,41.172413793103445,30.82550328533652,1.0,116.0,124,0.0,0,1,stable
dlb_sasiri,2024-07-19,504,402,3,0,0.0,1.0,1.0,22.0,0.0547263681592039,68,4,0,7,29,35.904761904761905,28.78145031241768,3.0,96.0,68,3.333333333333333,0,1,cooling_down
dlb_sasiri,2022-02-11,133,34,9,0,1.0,3.0,3.0,3.0,0.088235294117647,21,4,0,2,6,17.0,0.0,17.0,17.0,21,10.0,1,0,stable
dlb_sasiri,2025-01-21,605,503,1,0,0.0,2.0,2.0,29.0,0.0576540755467196,18,1,0,1,4,36.75,35.95992312879119,3.0,142.0,18,6.666666666666667,0,0,cooling_down
dlb_sasiri,2025-07-11,723,621,29,0,1.0,2.0,5.0,35.0,0.0563607085346215,1,4,0,7,28,39.14705882352941,30.294760130251586,2.0,138.0,1,6.666666666666667,0,0,heating_up
dlb_sasiri,2023-11-17,403,301,38,0,0.0,3.0,6.0,22.0,0.0730897009966777,26,4,0,11,46,31.23809523809524,36.45859329353384,2.0,154.0,26,10.0,1,0,cooling_down
dlb_sasiri,2023-06-02,331,229,38,0,0.0,1.0,3.0,16.0,0.0698689956331877,75,4,0,6,22,29.266666666666666,25.931876565767897,2.0,91.0,75,3.333333333333333,0,1,cooling_down
