lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_dhana_nidhanaya,2025-08-22,1959,72,36,0,0.0,0.0,1.0,3.0,0.0416666666666666,39,4,0,8,34,8.0,6.0,2.0,14.0,39,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-07-08,1914,27,32,0,0.0,1.0,1.0,1.0,0.037037037037037,22,1,0,7,28,0.0,0.0,0.0,0.0,22,3.333333333333333,0,0,cooling_down
nlb_dhana_nidhanaya,2025-07-31,1937,50,81,0,0.0,1.0,3.0,3.0,0.06,16,3,0,7,31,14.0,9.0,5.0,23.0,16,3.333333333333333,0,1,cooling_down
nlb_dhana_nidhanaya,2025-08-08,1945,58,70,0,0.0,1.0,2.0,2.0,0.0344827586206896,29,4,0,8,32,3.0,0.0,3.0,3.0,29,3.333333333333333,0,0,cooling_down
nlb_dhana_nidhanaya,2025-07-17,1923,36,31,0,1.0,1.0,1.0,1.0,0.0277777777777777,9,3,0,7,29,0.0,0.0,0.0,0.0,9,3.333333333333333,0,1,heating_up
nlb_dhana_nidhanaya,2025-08-16,1953,66,57,0,0.0,1.0,3.0,5.0,0.0757575757575757,30,5,1,8,33,8.5,4.9749371855331,1.0,13.0,30,3.333333333333333,0,1,cooling_down
nlb_dhana_nidhanaya,2025-07-30,1936,49,57,0,0.0,2.0,5.0,5.0,0.1020408163265306,13,2,0,7,31,8.5,4.9749371855331,1.0,13.0,13,6.666666666666667,0,0,cooling_down
nlb_dhana_nidhanaya,2025-08-16,1953,66,44,0,1.0,1.0,1.0,2.0,0.0303030303030303,6,5,1,8,33,52.0,0.0,52.0,52.0,6,3.333333333333333,0,1,heating_up
nlb_dhana_nidhanaya,2025-06-27,1903,16,72,0,1.0,1.0,1.0,1.0,0.0625,3,4,0,6,26,0.0,0.0,0.0,0.0,3,3.333333333333333,0,0,heating_up
nlb_dhana_nidhanaya,2025-07-19,1925,38,80,0,0.0,2.0,2.0,2.0,0.0526315789473684,20,5,1,7,29,7.0,0.0,7.0,7.0,20,6.666666666666667,0,0,cooling_down
nlb_dhana_nidhanaya,2025-08-25,1962,75,46,1,0.0,0.0,1.0,2.0,0.0266666666666666,34,0,0,8,35,17.0,0.0,17.0,17.0,34,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-08-31,1968,81,37,0,0.0,2.0,4.0,5.0,0.0617283950617283,22,6,1,8,35,7.5,4.153311931459037,3.0,14.0,22,6.666666666666667,0,0,cooling_down
nlb_dhana_nidhanaya,2025-06-17,1893,6,11,0,0.0,0.0,0.0,0.0,0.0,999,1,0,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-08-03,1940,53,52,0,0.0,0.0,2.0,2.0,0.0377358490566037,32,6,1,8,31,18.0,0.0,18.0,18.0,32,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-08-26,1963,76,44,0,0.0,1.0,1.0,2.0,0.0263157894736842,16,1,0,8,35,52.0,0.0,52.0,52.0,16,3.333333333333333,0,1,cooling_down
nlb_dhana_nidhanaya,2025-07-28,1934,47,26,0,2.0,3.0,3.0,3.0,0.0638297872340425,7,0,0,7,31,9.0,7.0,2.0,16.0,7,10.0,1,0,heating_up
nlb_dhana_nidhanaya,2025-08-30,1967,80,23,0,0.0,0.0,0.0,2.0,0.025,61,5,1,8,35,14.0,0.0,14.0,14.0,61,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-06-19,1895,8,1,0,0.0,0.0,0.0,0.0,0.0,999,3,0,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-06-20,1896,9,17,0,0.0,0.0,0.0,0.0,0.0,999,4,0,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-07-12,1918,31,17,0,0.0,0.0,0.0,0.0,0.0,999,5,1,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-06-12,1888,1,14,1,1.0,3.0,3.0,5.0,5.0,999,3,0,6,24,0.0,0.0,0.0,0.0,999,10.0,1,0,stable
nlb_dhana_nidhanaya,2025-07-07,1913,26,30,0,0.0,0.0,0.0,0.0,0.0,999,0,0,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-07-21,1927,40,60,0,0.0,0.0,0.0,0.0,0.0,999,0,0,7,30,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_dhana_nidhanaya,2025-08-03,1940,53,10,0,1.0,1.0,2.0,2.0,0.0377358490566037,8,6,1,8,31,26.0,0.0,26.0,26.0,8,3.333333333333333,0,1,heating_up
nlb_dhana_nidhanaya,2025-08-18,1955,68,8,0,1.0,7.0,9.0,12.0,0.1764705882352941,1,0,0,8,34,6.0,4.134115273055299,2.0,13.0,1,23.33333333333333,1,0,cooling_down
