lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_govisetha,2025-06-14,4102,3,42,0,0.0,0.0,0.0,0.0,0.0,999,5,1,6,24,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
nlb_govisetha,2025-07-12,4130,31,23,0,0.0,0.0,0.0,0.0,0.0,999,5,1,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_govisetha,2025-06-14,4102,3,2,0,0.0,0.0,0.0,0.0,0.0,999,5,1,6,24,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
nlb_govisetha,2025-11-02,4243,144,68,0,0.0,2.0,5.0,9.0,0.0625,24,6,1,11,44,14.125,12.917405892825386,2.0,41.0,24,6.666666666666667,1,0,cooling_down
nlb_govisetha,2025-07-18,4136,37,75,0,0.0,2.0,3.0,3.0,0.081081081081081,22,4,0,7,29,6.0,3.0,3.0,9.0,22,6.666666666666667,1,0,cooling_down
nlb_govisetha,2025-11-01,4242,143,41,0,0.0,0.0,1.0,4.0,0.0279720279720279,39,5,1,11,44,33.333333333333336,13.199326582148888,16.0,48.0,39,0.0,0,1,stable
nlb_govisetha,2025-11-13,4254,155,62,0,1.0,4.0,5.0,11.0,0.0709677419354838,5,3,0,11,46,13.4,9.718024490605076,4.0,36.0,5,13.333333333333334,1,0,cooling_down
nlb_govisetha,2025-10-24,4234,135,13,0,0.0,3.0,3.0,5.0,0.037037037037037,13,4,0,10,43,23.25,29.894606536965828,1.0,74.0,13,10.0,1,0,cooling_down
nlb_govisetha,2025-07-19,4137,38,23,0,2.0,2.0,2.0,2.0,0.0526315789473684,5,5,1,7,29,1.0,0.0,1.0,1.0,5,6.666666666666667,1,0,heating_up
nlb_govisetha,2025-08-11,4160,61,33,0,1.0,2.0,3.0,3.0,0.0491803278688524,6,0,0,8,33,17.0,11.0,6.0,28.0,6,6.666666666666667,1,0,heating_up
nlb_govisetha,2025-07-24,4142,43,45,0,1.0,1.0,3.0,3.0,0.0697674418604651,10,3,0,7,30,15.0,11.0,4.0,26.0,10,3.333333333333333,0,1,heating_up
nlb_govisetha,2025-11-15,4256,157,23,0,1.0,3.0,5.0,10.0,0.0636942675159235,8,5,1,11,46,13.0,8.86942313043338,1.0,26.0,8,10.0,1,0,stable
nlb_govisetha,2025-10-14,4224,125,15,0,0.0,1.0,2.0,7.0,0.056,27,1,0,10,42,11.833333333333334,11.823939933691966,1.0,35.0,27,3.333333333333333,0,0,cooling_down
nlb_govisetha,2025-09-30,4210,111,6,0,1.0,1.0,1.0,3.0,0.027027027027027,10,1,0,9,40,49.5,41.5,8.0,91.0,10,3.333333333333333,0,0,heating_up
nlb_govisetha,2025-06-27,4115,16,57,0,0.0,0.0,0.0,0.0,0.0,999,4,0,6,26,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_govisetha,2025-10-09,4219,120,52,0,0.0,0.0,1.0,4.0,0.0333333333333333,31,3,0,10,41,28.0,11.51810169544733,13.0,41.0,31,0.0,0,1,stable
nlb_govisetha,2025-09-04,4184,85,56,0,0.0,1.0,4.0,4.0,0.0470588235294117,16,3,0,9,36,11.0,10.03327796219494,2.0,25.0,16,3.333333333333333,0,0,cooling_down
nlb_govisetha,2025-11-09,4250,151,58,0,1.0,3.0,3.0,8.0,0.0529801324503311,9,6,1,11,45,13.571428571428571,11.914662549710313,4.0,41.0,9,10.0,1,0,stable
nlb_govisetha,2026-01-01,4303,204,11,0,1.0,1.0,1.0,8.0,0.0392156862745098,10,3,0,1,1,26.0,29.50060532066612,2.0,94.0,10,3.333333333333333,0,0,heating_up
nlb_govisetha,2025-11-02,4243,144,19,0,2.0,3.0,4.0,8.0,0.0555555555555555,5,6,1,11,44,17.714285714285715,14.839274969911877,3.0,46.0,5,10.0,1,0,heating_up
nlb_govisetha,2026-01-06,4308,209,50,0,0.0,2.0,3.0,7.0,0.0334928229665071,11,1,0,1,2,32.333333333333336,21.62303298696914,6.0,66.0,11,6.666666666666667,0,0,cooling_down
nlb_govisetha,2025-11-21,4262,163,2,0,0.0,2.0,2.0,4.0,0.0245398773006134,27,4,0,11,47,17.0,12.83225103661344,3.0,34.0,27,6.666666666666667,1,0,cooling_down
nlb_govisetha,2025-11-25,4266,167,18,0,0.0,0.0,2.0,7.0,0.0419161676646706,40,1,0,11,48,20.166666666666668,28.56231005285734,1.0,82.0,40,0.0,0,1,stable
nlb_govisetha,2025-12-16,4287,188,64,0,0.0,1.0,1.0,7.0,0.0372340425531914,27,1,0,12,51,25.666666666666668,35.07452383457574,2.0,100.0,27,3.333333333333333,0,0,cooling_down
nlb_govisetha,2025-08-12,4161,62,19,0,1.0,1.0,3.0,3.0,0.0483870967741935,7,1,0,8,33,20.0,11.0,9.0,31.0,7,3.333333333333333,0,0,heating_up
nlb_govisetha,2025-08-23,4172,73,61,0,0.0,2.0,3.0,4.0,0.0547945205479452,20,5,1,8,34,14.333333333333334,6.847546194724712,9.0,24.0,20,6.666666666666667,1,0,cooling_down
nlb_govisetha,2025-07-01,4119,20,56,0,0.0,0.0,0.0,0.0,0.0,999,1,0,7,27,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_govisetha,2025-10-21,4231,132,17,0,0.0,3.0,3.0,6.0,0.0454545454545454,13,1,0,10,43,23.6,30.49327794777072,4.0,84.0,13,10.0,1,0,cooling_down
nlb_govisetha,2025-09-02,4182,83,12,0,1.0,2.0,3.0,4.0,0.0481927710843373,3,1,0,9,36,25.0,8.04155872120988,17.0,36.0,3,6.666666666666667,1,0,heating_up
nlb_govisetha,2025-08-16,4165,66,74,0,0.0,1.0,2.0,2.0,0.0303030303030303,15,5,1,8,33,35.0,0.0,35.0,35.0,15,3.333333333333333,0,0,cooling_down
