lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_handahana,2025-07-01,1186,20,57,0,1.0,1.0,1.0,1.0,0.05,5,1,0,7,27,0.0,0.0,0.0,0.0,5,3.333333333333333,0,0,heating_up
nlb_handahana,2025-07-05,1190,24,14,0,1.0,2.0,2.0,2.0,0.0833333333333333,5,5,1,7,27,7.0,0.0,7.0,7.0,5,6.666666666666667,0,0,heating_up
nlb_handahana,2025-07-18,1203,37,5,0,3.0,8.0,8.0,8.0,0.2162162162162162,4,4,0,7,29,3.7142857142857135,1.905952009160905,1.0,7.0,4,26.666666666666668,1,0,heating_up
nlb_handahana,2025-07-09,1194,28,50,0,0.0,0.0,0.0,0.0,0.0,999,2,0,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-08-13,1229,63,14,0,1.0,2.0,3.0,4.0,0.0634920634920634,6,2,0,8,33,15.0,11.31370849898476,7.0,31.0,6,6.666666666666667,0,0,heating_up
nlb_handahana,2025-08-08,1224,58,21,0,0.0,1.0,2.0,2.0,0.0344827586206896,20,4,0,8,32,15.0,0.0,15.0,15.0,20,3.333333333333333,0,1,cooling_down
nlb_handahana,2025-08-30,1246,80,51,0,0.0,1.0,1.0,6.0,0.075,25,5,1,8,35,10.4,8.73155198117723,2.0,26.0,25,3.333333333333333,0,1,cooling_down
nlb_handahana,2025-07-06,1191,25,16,0,1.0,1.0,1.0,1.0,0.04,8,6,1,7,27,0.0,0.0,0.0,0.0,8,3.333333333333333,0,1,heating_up
nlb_handahana,2025-06-17,1172,6,48,0,1.0,1.0,1.0,1.0,0.1666666666666666,4,1,0,6,25,0.0,0.0,0.0,0.0,4,3.333333333333333,1,0,heating_up
nlb_handahana,2025-06-25,1180,14,6,1,1.0,1.0,1.0,1.0,0.0714285714285714,6,2,0,6,26,0.0,0.0,0.0,0.0,6,3.333333333333333,0,0,heating_up
nlb_handahana,2025-06-15,1170,4,8,0,0.0,0.0,0.0,0.0,0.0,999,6,1,6,24,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-07-12,1197,31,32,0,0.0,0.0,0.0,0.0,0.0,999,5,1,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-06-19,1174,8,11,0,0.0,0.0,0.0,0.0,0.0,999,3,0,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-08-29,1245,79,17,0,1.0,1.0,4.0,7.0,0.0886075949367088,9,4,0,8,35,11.5,6.048415770541352,4.0,22.0,9,3.333333333333333,0,1,heating_up
nlb_handahana,2025-08-16,1232,66,28,0,0.0,2.0,3.0,3.0,0.0454545454545454,14,5,1,8,33,17.0,11.0,6.0,28.0,14,6.666666666666667,0,0,cooling_down
nlb_handahana,2025-08-05,1221,55,56,0,1.0,2.0,3.0,3.0,0.0545454545454545,5,1,0,8,32,18.5,9.5,9.0,28.0,5,6.666666666666667,0,0,heating_up
nlb_handahana,2025-06-22,1177,11,32,0,0.0,0.0,0.0,0.0,0.0,999,6,1,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-08-21,1237,71,28,1,0.0,2.0,2.0,3.0,0.0422535211267605,19,3,0,8,34,17.0,11.0,6.0,28.0,19,6.666666666666667,0,0,cooling_down
nlb_handahana,2025-08-11,1227,61,0,0,1.0,4.0,9.0,11.0,0.180327868852459,6,0,0,8,33,5.4,2.9393876913398134,1.0,10.0,6,13.333333333333334,1,0,cooling_down
nlb_handahana,2025-07-19,1204,38,48,0,1.0,1.0,2.0,2.0,0.0526315789473684,7,5,1,7,29,29.0,0.0,29.0,29.0,7,3.333333333333333,0,1,heating_up
nlb_handahana,2025-07-19,1204,38,32,0,0.0,0.0,0.0,0.0,0.0,999,5,1,7,29,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_handahana,2025-06-14,1169,3,25,0,0.0,0.0,0.0,0.0,0.0,999,5,1,6,24,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
nlb_handahana,2025-06-25,1180,14,5,1,2.0,2.0,2.0,2.0,0.1428571428571428,2,2,0,6,26,5.0,0.0,5.0,5.0,2,6.666666666666667,1,0,heating_up
nlb_handahana,2025-07-09,1194,28,9,1,2.0,7.0,7.0,7.0,0.25,6,2,0,7,28,3.5,1.8929694486000912,1.0,6.0,6,23.33333333333333,1,0,cooling_down
nlb_handahana,2025-06-21,1176,10,0,0,2.0,2.0,2.0,2.0,0.2,6,5,1,6,25,3.0,0.0,3.0,3.0,6,6.666666666666667,1,0,heating_up
nlb_handahana,2025-07-11,1196,30,62,0,2.0,4.0,4.0,4.0,0.1333333333333333,1,4,0,7,28,9.333333333333334,5.2493385826745405,2.0,14.0,1,13.333333333333334,1,0,heating_up
nlb_handahana,2025-07-01,1186,20,9,1,1.0,5.0,5.0,5.0,0.25,5,1,0,7,27,3.5,2.0615528128088303,1.0,6.0,5,16.666666666666664,1,0,cooling_down
