lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_mahajana_sampatha,2025-09-20,5958,101,6,0,5.0,12.0,20.0,49.0,0.4851485148514851,1,5,1,9,38,2.0625,1.2975337182516684,1.0,6.0,1,40.0,0,0,heating_up
nlb_mahajana_sampatha,2025-12-05,6034,177,8,1,2.0,14.0,24.0,90.0,0.5084745762711864,7,4,0,12,49,1.898876404494382,1.3072395121122684,1.0,7.0,7,46.66666666666666,0,0,cooling_down
nlb_mahajana_sampatha,2025-09-05,5943,86,7,0,6.0,19.0,28.0,49.0,0.5697674418604651,1,4,0,9,36,1.75,1.1989578808281798,1.0,7.0,1,63.33333333333333,1,0,cooling_down
nlb_mahajana_sampatha,2025-10-12,5980,123,4,1,5.0,13.0,19.0,52.0,0.4227642276422764,1,6,1,10,41,2.2745098039215685,1.8049868977043224,1.0,7.0,1,43.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-07-05,5881,24,0,1,3.0,9.0,9.0,9.0,0.375,2,5,1,7,27,2.375,1.4086784586980805,1.0,5.0,2,30.0,0,0,stable
nlb_mahajana_sampatha,2025-12-18,6047,190,8,1,3.0,12.0,22.0,95.0,0.5,1,3,0,12,51,2.0,1.4731642019671285,1.0,7.0,1,40.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-06-23,5869,12,4,1,4.0,4.0,4.0,4.0,0.3333333333333333,2,0,0,6,26,1.3333333333333333,0.4714045207910317,1.0,2.0,2,13.333333333333334,0,0,heating_up
nlb_mahajana_sampatha,2025-08-23,5930,73,7,1,6.0,15.0,25.0,40.0,0.547945205479452,1,5,1,8,34,1.8205128205128205,1.2784564986992728,1.0,7.0,1,50.0,0,0,heating_up
nlb_mahajana_sampatha,2025-10-01,5969,112,4,0,3.0,12.0,18.0,47.0,0.4196428571428571,1,2,0,10,40,2.282608695652174,1.8256987164925775,1.0,7.0,1,40.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-10-03,5971,114,1,0,7.0,20.0,28.0,59.0,0.5175438596491229,3,4,0,10,40,1.862068965517241,1.2925286078614695,1.0,5.0,3,66.66666666666666,1,0,heating_up
nlb_mahajana_sampatha,2025-06-25,5871,14,8,1,5.0,7.0,7.0,7.0,0.5,1,2,0,6,26,2.0,1.4142135623730951,1.0,4.0,1,23.33333333333333,0,0,heating_up
nlb_mahajana_sampatha,2025-10-22,5990,133,2,1,5.0,13.0,22.0,63.0,0.4736842105263157,2,2,0,10,43,2.096774193548387,1.3405545003342034,1.0,9.0,2,43.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-10-17,5985,128,0,0,3.0,11.0,19.0,48.0,0.375,2,4,0,10,42,2.617021276595745,1.8166275920116224,1.0,10.0,2,36.66666666666666,0,1,cooling_down
nlb_mahajana_sampatha,2025-09-03,5941,84,5,0,3.0,8.0,16.0,31.0,0.369047619047619,2,2,0,9,36,2.7,2.424183711410228,1.0,13.0,2,26.666666666666668,0,1,heating_up
nlb_mahajana_sampatha,2025-06-17,5863,6,0,1,2.0,2.0,2.0,2.0,0.3333333333333333,2,1,0,6,25,1.0,0.0,1.0,1.0,2,6.666666666666667,0,0,heating_up
nlb_mahajana_sampatha,2025-07-31,5907,50,7,0,4.0,14.0,27.0,27.0,0.54,6,3,0,7,31,1.6538461538461535,0.9977785977748344,1.0,4.0,6,46.66666666666666,0,0,cooling_down
nlb_mahajana_sampatha,2025-07-06,5882,25,6,1,6.0,15.0,15.0,15.0,0.6,2,6,1,7,27,1.5714285714285714,0.82065180664829,1.0,3.0,2,50.0,1,0,heating_up
nlb_mahajana_sampatha,2025-07-26,5902,45,4,0,6.0,16.0,23.0,23.0,0.5111111111111111,1,5,1,7,30,1.7272727272727273,1.2497933713515927,1.0,6.0,1,53.333333333333336,1,0,heating_up
nlb_mahajana_sampatha,2025-11-25,6024,167,2,0,6.0,16.0,26.0,81.0,0.4850299401197604,4,1,0,11,48,2.025,1.332056680475722,1.0,9.0,4,53.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-11-15,6014,157,4,0,3.0,13.0,24.0,68.0,0.4331210191082802,6,5,1,11,46,2.164179104477612,1.6804140829895606,1.0,7.0,6,43.333333333333336,0,1,cooling_down
nlb_mahajana_sampatha,2025-11-29,6028,171,4,1,4.0,12.0,23.0,73.0,0.4269005847953216,2,5,1,11,48,2.263888888888889,1.810410140422112,1.0,9.0,2,40.0,0,1,stable
nlb_mahajana_sampatha,2025-12-02,6031,174,9,1,6.0,16.0,28.0,83.0,0.4770114942528735,2,1,0,12,49,2.0365853658536586,1.6338277811086537,1.0,8.0,2,53.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-12-07,6036,179,9,0,6.0,18.0,28.0,86.0,0.4804469273743016,3,6,1,12,49,2.011764705882353,1.6124086304952296,1.0,8.0,3,60.0,1,0,stable
nlb_mahajana_sampatha,2025-11-01,6000,143,4,1,5.0,15.0,23.0,62.0,0.4335664335664335,1,5,1,11,44,2.2295081967213117,1.7404864839327212,1.0,7.0,1,50.0,0,0,stable
nlb_mahajana_sampatha,2025-11-28,6027,170,8,1,6.0,16.0,26.0,89.0,0.5235294117647059,1,4,0,11,48,1.9090909090909087,1.3111095547141778,1.0,7.0,1,53.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-07-03,5879,22,5,0,4.0,7.0,7.0,7.0,0.3181818181818182,1,3,0,7,27,3.333333333333333,2.0548046676563256,1.0,7.0,1,23.33333333333333,0,1,heating_up
nlb_mahajana_sampatha,2025-10-02,5970,113,8,1,4.0,14.0,24.0,58.0,0.5132743362831859,3,3,0,10,40,1.912280701754386,1.4176914983043456,1.0,7.0,3,46.66666666666666,0,0,cooling_down
nlb_mahajana_sampatha,2025-12-03,6032,175,5,0,4.0,11.0,21.0,75.0,0.4285714285714285,1,2,0,12,49,2.3378378378378377,1.8764329805405229,1.0,13.0,1,36.66666666666666,0,1,heating_up
nlb_mahajana_sampatha,2025-11-14,6013,156,2,1,6.0,15.0,22.0,74.0,0.4743589743589743,3,4,0,11,46,2.0821917808219177,1.362445672236313,1.0,9.0,3,50.0,0,0,heating_up
nlb_mahajana_sampatha,2025-07-29,5905,48,1,0,6.0,16.0,25.0,25.0,0.5208333333333334,3,1,0,7,31,1.75,1.1273124382057236,1.0,5.0,3,53.333333333333336,1,0,heating_up
nlb_mahajana_sampatha,2025-12-17,6046,189,7,0,2.0,9.0,17.0,89.0,0.4708994708994709,2,2,0,12,51,2.113636363636364,1.8242795475936784,1.0,11.0,2,30.0,0,1,cooling_down
nlb_mahajana_sampatha,2025-10-10,5978,121,1,0,4.0,18.0,28.0,62.0,0.512396694214876,2,4,0,10,41,1.901639344262295,1.326957793104791,1.0,5.0,2,60.0,1,0,cooling_down
nlb_mahajana_sampatha,2026-01-08,6068,211,1,0,4.0,13.0,26.0,106.0,0.5023696682464455,1,3,0,1,2,1.9714285714285715,1.3694430070871382,1.0,8.0,1,43.333333333333336,0,1,cooling_down
nlb_mahajana_sampatha,2025-12-04,6033,176,5,0,4.0,10.0,21.0,75.0,0.4261363636363636,2,3,0,12,49,2.3378378378378377,1.8764329805405229,1.0,13.0,2,33.33333333333333,0,1,heating_up
nlb_mahajana_sampatha,2025-08-04,5911,54,8,1,5.0,13.0,27.0,29.0,0.5370370370370371,2,0,0,8,32,1.8214285714285716,1.4155657987576011,1.0,7.0,2,43.333333333333336,0,1,heating_up
nlb_mahajana_sampatha,2025-06-12,5858,1,4,0,4.0,12.0,26.0,112.0,112.0,999,3,0,6,24,0.0,0.0,0.0,0.0,999,40.0,0,0,stable
nlb_mahajana_sampatha,2025-11-29,6028,171,5,0,5.0,13.0,23.0,74.0,0.4327485380116959,2,5,1,11,48,2.3013698630136985,1.8630136986301369,1.0,13.0,2,43.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-10-31,5999,142,6,0,4.0,10.0,20.0,64.0,0.4507042253521127,1,4,0,10,44,2.2222222222222223,1.6756372343360824,1.0,11.0,1,33.33333333333333,0,1,heating_up
nlb_mahajana_sampatha,2025-09-19,5957,100,9,0,8.0,18.0,30.0,48.0,0.48,1,4,0,9,38,2.0,1.6631167868819408,1.0,8.0,1,60.0,1,0,heating_up
nlb_mahajana_sampatha,2025-08-16,5923,66,9,0,6.0,17.0,25.0,28.0,0.4242424242424242,1,5,1,8,33,2.2222222222222223,1.6850834320114556,1.0,8.0,1,56.66666666666666,1,0,heating_up
nlb_mahajana_sampatha,2025-09-26,5964,107,3,1,5.0,17.0,25.0,52.0,0.4859813084112149,2,4,0,9,39,2.019607843137255,1.4483282598132854,1.0,7.0,2,56.66666666666666,1,0,cooling_down
nlb_mahajana_sampatha,2025-08-10,5917,60,4,0,6.0,13.0,26.0,29.0,0.4833333333333333,1,6,1,8,32,1.8928571428571428,1.5661437106629073,1.0,7.0,1,43.333333333333336,0,1,heating_up
nlb_mahajana_sampatha,2026-01-08,6068,211,2,0,6.0,14.0,23.0,102.0,0.4834123222748815,2,3,0,1,2,2.0594059405940595,1.363032308067566,1.0,9.0,2,46.66666666666666,0,0,heating_up
nlb_mahajana_sampatha,2025-06-16,5862,5,6,0,2.0,2.0,2.0,2.0,0.4,1,0,0,6,25,3.0,0.0,3.0,3.0,1,6.666666666666667,1,0,heating_up
nlb_mahajana_sampatha,2025-07-21,5897,40,5,0,5.0,14.0,17.0,17.0,0.425,1,0,0,7,30,2.375,1.6153559979150107,1.0,7.0,1,46.66666666666666,0,0,heating_up
nlb_mahajana_sampatha,2025-07-13,5889,32,3,0,8.0,16.0,16.0,16.0,0.5,1,6,1,7,28,1.9333333333333331,1.5260697523012796,1.0,6.0,1,53.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-08-08,5915,58,3,1,5.0,15.0,24.0,27.0,0.4655172413793103,2,4,0,8,32,2.076923076923077,1.5913969896597848,1.0,6.0,2,50.0,0,0,stable
nlb_mahajana_sampatha,2025-12-12,6041,184,6,1,5.0,18.0,28.0,89.0,0.483695652173913,1,4,0,12,50,2.0681818181818183,1.5284830161236702,1.0,11.0,1,60.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-12-06,6035,178,8,1,3.0,15.0,25.0,91.0,0.5112359550561798,1,5,1,12,49,1.9555555555555555,1.405632408966086,1.0,7.0,1,50.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-10-26,5994,137,0,1,5.0,13.0,22.0,53.0,0.3868613138686131,1,6,1,10,43,2.5576923076923075,1.780378757655252,1.0,10.0,1,43.333333333333336,0,1,heating_up
nlb_mahajana_sampatha,2025-06-19,5865,8,3,0,3.0,3.0,3.0,3.0,0.375,3,3,0,6,25,1.5,0.5,1.0,2.0,3,10.0,0,0,heating_up
nlb_mahajana_sampatha,2025-07-13,5889,32,5,0,7.0,13.0,14.0,14.0,0.4375,1,6,1,7,28,2.3076923076923075,1.7269187938956654,1.0,7.0,1,43.333333333333336,0,1,heating_up
nlb_mahajana_sampatha,2025-06-30,5876,19,1,1,5.0,9.0,9.0,9.0,0.4736842105263157,4,0,0,6,27,1.5,1.0,1.0,4.0,4,30.0,0,0,heating_up
nlb_mahajana_sampatha,2025-12-30,6059,202,6,0,4.0,15.0,29.0,98.0,0.4851485148514851,1,1,0,12,1,2.061855670103093,1.4770717268925622,1.0,11.0,1,50.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-10-29,5997,140,1,0,4.0,14.0,28.0,71.0,0.5071428571428571,1,2,0,10,44,1.9428571428571428,1.297092510036133,1.0,5.0,1,46.66666666666666,0,0,cooling_down
nlb_mahajana_sampatha,2025-09-23,5961,104,9,0,6.0,15.0,29.0,49.0,0.4711538461538461,3,1,0,9,39,2.0,1.6457014715109584,1.0,8.0,3,50.0,0,0,heating_up
nlb_mahajana_sampatha,2025-09-29,5967,110,8,1,5.0,13.0,24.0,57.0,0.5181818181818182,1,0,0,9,40,1.9285714285714288,1.4249955245185717,1.0,7.0,1,43.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-07-29,5905,48,2,1,6.0,14.0,23.0,23.0,0.4791666666666667,2,1,0,7,31,2.0454545454545454,0.9759504797083586,1.0,4.0,2,46.66666666666666,0,1,heating_up
nlb_mahajana_sampatha,2025-12-18,6047,190,2,0,2.0,12.0,24.0,90.0,0.4736842105263157,1,3,0,12,51,2.1123595505617976,1.4176908130865171,1.0,9.0,1,40.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-11-21,6020,163,8,0,7.0,18.0,28.0,86.0,0.5276073619631901,1,4,0,11,47,1.8941176470588237,1.3197462270475444,1.0,7.0,1,60.0,1,0,heating_up
nlb_mahajana_sampatha,2025-11-24,6023,166,2,0,7.0,16.0,26.0,81.0,0.4879518072289157,3,0,0,11,48,2.025,1.332056680475722,1.0,9.0,3,53.333333333333336,0,0,heating_up
nlb_mahajana_sampatha,2025-07-30,5906,49,3,0,4.0,14.0,22.0,22.0,0.4489795918367347,2,2,0,7,31,2.142857142857143,1.7261494247992246,1.0,6.0,2,46.66666666666666,0,0,cooling_down
nlb_mahajana_sampatha,2025-07-02,5878,21,2,0,5.0,10.0,10.0,10.0,0.4761904761904761,2,2,0,7,27,2.0,0.9428090415820634,1.0,4.0,2,33.33333333333333,0,0,heating_up
nlb_mahajana_sampatha,2025-08-10,5917,60,0,1,3.0,7.0,15.0,20.0,0.3333333333333333,5,6,1,8,32,2.736842105263158,2.123604315982317,1.0,10.0,5,23.33333333333333,0,1,heating_up
nlb_mahajana_sampatha,2025-07-14,5890,33,0,1,4.0,13.0,13.0,13.0,0.3939393939393939,5,0,0,7,29,2.083333333333333,1.25554326444328,1.0,5.0,5,43.333333333333336,0,1,cooling_down
nlb_mahajana_sampatha,2025-11-04,6003,146,4,0,8.0,17.0,24.0,65.0,0.4452054794520548,1,1,0,11,45,2.171875,1.7189630549767496,1.0,7.0,1,56.66666666666666,1,0,heating_up
nlb_mahajana_sampatha,2025-06-17,5863,6,2,1,2.0,2.0,2.0,2.0,0.3333333333333333,4,1,0,6,25,1.0,0.0,1.0,1.0,4,6.666666666666667,0,0,heating_up
nlb_mahajana_sampatha,2025-09-03,5941,84,0,0,3.0,13.0,17.0,31.0,0.369047619047619,3,2,0,9,36,2.6,1.9595917942265424,1.0,10.0,3,43.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-12-03,6032,175,0,0,5.0,15.0,23.0,70.0,0.4,4,2,0,12,49,2.4347826086956523,1.7065794322381018,1.0,10.0,4,50.0,0,0,stable
nlb_mahajana_sampatha,2025-12-11,6040,183,4,0,4.0,11.0,22.0,79.0,0.4316939890710382,1,3,0,12,50,2.2564102564102564,1.764579541957462,1.0,9.0,1,36.66666666666666,0,1,heating_up
nlb_mahajana_sampatha,2025-12-15,6044,187,4,1,5.0,14.0,24.0,82.0,0.4385026737967914,1,0,0,12,51,2.2222222222222223,1.7427096823731243,1.0,9.0,1,46.66666666666666,0,0,heating_up
nlb_mahajana_sampatha,2026-01-07,6067,210,6,1,2.0,13.0,25.0,99.0,0.4714285714285714,7,2,0,1,2,2.061224489795918,1.4695294716240563,1.0,11.0,7,43.333333333333336,0,1,cooling_down
nlb_mahajana_sampatha,2025-12-18,6047,190,9,0,4.0,16.0,26.0,90.0,0.4736842105263157,2,3,0,12,51,2.056179775280899,1.623974529064922,1.0,8.0,2,53.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-09-22,5960,103,6,1,6.0,12.0,21.0,50.0,0.4854368932038835,1,0,0,9,39,2.061224489795918,1.2842557324532469,1.0,6.0,1,40.0,0,0,heating_up
nlb_mahajana_sampatha,2025-12-13,6042,185,4,1,4.0,12.0,23.0,80.0,0.4324324324324324,1,5,1,12,50,2.2531645569620253,1.7536100517011577,1.0,9.0,1,40.0,0,0,stable
nlb_mahajana_sampatha,2025-12-11,6040,183,8,0,2.0,13.0,24.0,92.0,0.5027322404371585,5,3,0,12,50,1.945054945054945,1.4014328410487786,1.0,7.0,5,43.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-06-27,5873,16,2,1,6.0,8.0,8.0,8.0,0.5,2,4,0,6,26,1.8571428571428568,0.9897433186107868,1.0,4.0,2,26.666666666666668,0,0,heating_up
nlb_mahajana_sampatha,2025-09-01,5939,82,5,1,2.0,8.0,16.0,30.0,0.3658536585365853,3,0,0,9,36,2.689655172413793,2.464974620780899,1.0,13.0,3,26.666666666666668,0,1,cooling_down
nlb_mahajana_sampatha,2025-08-22,5929,72,3,1,2.0,11.0,24.0,32.0,0.4444444444444444,2,4,0,8,34,2.193548387096774,1.730548204000214,1.0,7.0,2,36.66666666666666,0,1,cooling_down
nlb_mahajana_sampatha,2025-08-27,5934,77,1,0,5.0,12.0,25.0,37.0,0.4805194805194805,3,2,0,8,35,1.9722222222222223,1.3434224765937497,1.0,5.0,3,40.0,0,0,heating_up
nlb_mahajana_sampatha,2025-09-27,5965,108,0,0,3.0,11.0,20.0,40.0,0.3703703703703703,5,5,1,9,39,2.5641025641025643,1.8918837687894068,1.0,10.0,5,36.66666666666666,0,1,cooling_down
nlb_mahajana_sampatha,2025-10-12,5980,123,1,1,4.0,18.0,28.0,63.0,0.5121951219512195,1,6,1,10,41,1.9193548387096773,1.323465478994254,1.0,5.0,1,60.0,1,0,cooling_down
nlb_mahajana_sampatha,2025-08-24,5931,74,8,0,5.0,15.0,23.0,39.0,0.527027027027027,1,6,1,8,34,1.894736842105263,1.428828627420866,1.0,7.0,1,50.0,0,0,stable
nlb_mahajana_sampatha,2025-12-08,6037,180,2,0,6.0,18.0,26.0,88.0,0.4888888888888889,1,0,0,12,50,2.045977011494253,1.3638017011029495,1.0,9.0,1,60.0,1,0,stable
nlb_mahajana_sampatha,2025-08-29,5936,79,2,0,5.0,16.0,27.0,40.0,0.5063291139240507,3,4,0,8,35,1.9230769230769231,0.9166442529086912,1.0,4.0,3,53.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-11-29,6028,171,6,1,7.0,19.0,26.0,82.0,0.47953216374269,1,5,1,11,48,2.08641975308642,1.565030910152663,1.0,11.0,1,63.33333333333333,1,0,heating_up
nlb_mahajana_sampatha,2025-11-14,6013,156,6,0,6.0,14.0,20.0,72.0,0.4615384615384615,2,4,0,11,46,2.1549295774647885,1.6241824580423525,1.0,11.0,2,46.66666666666666,0,0,heating_up
nlb_mahajana_sampatha,2025-08-04,5911,54,5,0,4.0,15.0,22.0,23.0,0.4259259259259259,1,0,0,8,32,2.363636363636364,1.5534552264213692,1.0,7.0,1,50.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-07-07,5883,26,7,1,5.0,16.0,16.0,16.0,0.6153846153846154,1,0,0,7,28,1.6,1.083205120618128,1.0,4.0,1,53.333333333333336,1,0,cooling_down
nlb_mahajana_sampatha,2025-10-07,5975,118,2,1,3.0,12.0,21.0,55.0,0.4661016949152542,3,1,0,10,41,2.111111111111111,1.383322177554304,1.0,9.0,3,40.0,0,1,cooling_down
nlb_mahajana_sampatha,2025-10-23,5991,134,8,0,4.0,15.0,24.0,69.0,0.5149253731343284,1,3,0,10,43,1.9411764705882355,1.3920187724940274,1.0,7.0,1,50.0,0,0,cooling_down
nlb_mahajana_sampatha,2025-09-30,5968,111,2,0,3.0,13.0,21.0,53.0,0.4774774774774775,2,1,0,9,40,2.076923076923077,1.398435304822911,1.0,9.0,2,43.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-09-06,5944,87,2,0,3.0,13.0,27.0,43.0,0.4942528735632184,1,5,1,9,36,2.023809523809524,1.0115545612499048,1.0,5.0,1,43.333333333333336,0,0,cooling_down
nlb_mahajana_sampatha,2025-12-16,6045,188,0,0,4.0,12.0,20.0,74.0,0.3936170212765957,3,1,0,12,51,2.493150684931507,1.8366384396815747,1.0,10.0,3,40.0,0,0,stable
nlb_mahajana_sampatha,2025-10-14,5982,125,0,0,4.0,11.0,18.0,47.0,0.376,2,1,0,10,42,2.608695652173913,1.8353800799309077,1.0,10.0,2,36.66666666666666,0,1,heating_up
nlb_mahajana_sampatha,2025-09-28,5966,109,3,1,5.0,18.0,26.0,54.0,0.4954128440366973,1,6,1,9,39,2.0,1.4274928542926597,1.0,7.0,1,60.0,1,0,cooling_down
nlb_mahajana_sampatha,2025-10-04,5972,115,5,1,5.0,16.0,22.0,47.0,0.408695652173913,2,5,1,10,40,2.4347826086956523,2.071044411098183,1.0,13.0,2,53.333333333333336,1,0,cooling_down
