lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_mega_power,2025-10-26,2342,137,67,0,0.0,1.0,3.0,5.0,0.0364963503649635,28,6,1,10,43,18.25,15.594470173750691,2.0,44.0,28,3.333333333333333,0,1,cooling_down
nlb_mega_power,2025-08-25,2280,75,24,0,1.0,2.0,3.0,7.0,0.0933333333333333,1,0,0,8,35,10.166666666666666,10.05678322769706,2.0,31.0,1,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-12-01,2378,173,43,0,2.0,3.0,3.0,12.0,0.0693641618497109,3,0,0,12,49,14.0,17.69437506923907,1.0,63.0,3,10.0,1,0,heating_up
nlb_mega_power,2025-11-29,2376,171,15,0,1.0,1.0,1.0,18.0,0.1052631578947368,2,5,1,11,48,9.882352941176473,14.070755458380695,1.0,56.0,2,3.333333333333333,0,1,heating_up
nlb_mega_power,2025-09-05,2291,86,59,0,1.0,3.0,4.0,7.0,0.0813953488372093,3,4,0,9,36,12.166666666666666,5.3359368645273735,4.0,21.0,3,10.0,1,0,stable
nlb_mega_power,2025-07-19,2243,38,25,0,0.0,1.0,1.0,1.0,0.0263157894736842,15,5,1,7,29,0.0,0.0,0.0,0.0,15,3.333333333333333,0,1,cooling_down
nlb_mega_power,2026-01-07,2415,210,66,0,0.0,3.0,5.0,13.0,0.0619047619047619,11,2,0,1,2,13.916666666666666,16.02320366080253,3.0,65.0,11,10.0,1,0,cooling_down
nlb_mega_power,2025-08-18,2273,68,41,0,0.0,1.0,1.0,2.0,0.0294117647058823,11,0,0,8,34,44.0,0.0,44.0,44.0,11,3.333333333333333,0,1,cooling_down
nlb_mega_power,2025-07-17,2241,36,71,0,1.0,2.0,2.0,2.0,0.0555555555555555,1,3,0,7,29,24.0,0.0,24.0,24.0,1,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-10-27,2343,138,12,0,2.0,2.0,3.0,9.0,0.0652173913043478,6,0,0,10,44,15.375,11.99934894067174,1.0,36.0,6,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-08-24,2279,74,75,0,0.0,1.0,1.0,3.0,0.0405405405405405,21,6,1,8,34,18.0,12.0,6.0,30.0,21,3.333333333333333,0,1,cooling_down
nlb_mega_power,2025-11-01,2348,143,78,0,0.0,0.0,1.0,5.0,0.0349650349650349,50,5,1,11,44,11.75,6.94172168845741,4.0,23.0,50,0.0,0,1,stable
nlb_mega_power,2025-07-09,2233,28,72,0,0.0,0.0,0.0,0.0,0.0,999,2,0,7,28,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_mega_power,2025-11-09,2356,151,48,0,1.0,2.0,3.0,11.0,0.0728476821192053,6,6,1,11,45,14.0,7.655063683601855,2.0,26.0,6,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-11-18,2365,160,80,0,0.0,1.0,2.0,7.0,0.04375,11,1,0,11,47,24.166666666666668,14.088016972669442,4.0,45.0,11,3.333333333333333,0,1,cooling_down
nlb_mega_power,2025-06-28,2222,17,27,0,0.0,0.0,0.0,0.0,0.0,999,5,1,6,26,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_mega_power,2025-11-28,2375,170,64,0,0.0,0.0,1.0,7.0,0.0411764705882352,36,4,0,11,48,22.166666666666668,22.139080579122723,4.0,69.0,36,0.0,0,1,stable
nlb_mega_power,2025-11-11,2358,153,44,0,1.0,1.0,1.0,6.0,0.0392156862745098,2,1,0,11,46,26.6,20.035967658189108,1.0,54.0,2,3.333333333333333,0,0,heating_up
nlb_mega_power,2025-10-29,2345,140,44,0,0.0,0.0,1.0,5.0,0.0357142857142857,43,2,0,10,44,19.75,16.345871038277526,1.0,46.0,43,0.0,0,1,stable
nlb_mega_power,2025-09-10,2296,91,64,0,2.0,3.0,3.0,5.0,0.0549450549450549,1,2,0,9,37,22.25,27.07743525520835,4.0,69.0,1,10.0,1,0,heating_up
nlb_mega_power,2025-10-22,2338,133,30,0,1.0,2.0,3.0,4.0,0.0300751879699248,3,2,0,10,43,33.0,14.854853303438128,22.0,54.0,3,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-10-29,2345,140,42,0,0.0,1.0,2.0,9.0,0.0642857142857142,14,2,0,10,44,15.625,11.112352361223971,2.0,33.0,14,3.333333333333333,0,0,cooling_down
nlb_mega_power,2025-12-28,2405,200,61,0,1.0,2.0,4.0,14.0,0.07,7,6,1,12,52,14.23076923076923,11.375776194338068,4.0,47.0,7,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-07-03,2227,22,16,1,0.0,1.0,1.0,1.0,0.0454545454545454,19,3,0,7,27,0.0,0.0,0.0,0.0,19,3.333333333333333,0,0,cooling_down
nlb_mega_power,2025-09-12,2298,93,25,0,4.0,6.0,8.0,9.0,0.0967741935483871,1,4,0,9,37,8.625,6.963072238602727,1.0,23.0,1,20.0,1,0,heating_up
nlb_mega_power,2026-01-09,2417,212,73,1,0.0,0.0,1.0,10.0,0.0471698113207547,31,4,0,1,2,19.77777777777778,13.04503121905704,1.0,35.0,31,0.0,0,1,stable
nlb_mega_power,2025-09-07,2293,88,64,0,1.0,2.0,2.0,4.0,0.0454545454545454,2,6,1,9,36,28.33333333333333,28.8020061029706,6.0,69.0,2,6.666666666666667,0,0,heating_up
nlb_mega_power,2025-07-06,2230,25,31,0,0.0,0.0,0.0,0.0,0.0,999,6,1,7,27,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_mega_power,2025-07-05,2229,24,62,1,3.0,3.0,3.0,3.0,0.125,2,5,1,7,27,3.5,1.5,2.0,5.0,2,10.0,1,0,heating_up
nlb_mega_power,2025-08-28,2283,78,11,0,0.0,0.0,1.0,4.0,0.0512820512820512,32,3,0,8,35,12.0,10.198039027185567,2.0,26.0,32,0.0,0,1,stable
nlb_mega_power,2025-11-06,2353,148,36,0,2.0,4.0,6.0,10.0,0.0675675675675675,1,3,0,11,45,15.22222222222222,12.603154611954878,2.0,41.0,1,13.333333333333334,1,0,heating_up
nlb_mega_power,2025-07-22,2246,41,10,0,1.0,3.0,3.0,3.0,0.073170731707317,4,1,0,7,30,7.0,5.0,2.0,12.0,4,10.0,1,0,stable
nlb_mega_power,2025-06-27,2221,16,50,0,0.0,0.0,0.0,0.0,0.0,999,4,0,6,26,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_mega_power,2025-07-05,2229,24,61,0,1.0,2.0,2.0,2.0,0.0833333333333333,10,5,1,7,27,6.0,0.0,6.0,6.0,10,6.666666666666667,1,0,heating_up
