lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_suba_dawasak,2025-11-26,141,43,14,0,2.0,2.0,2.0,2.0,0.0465116279069767,1,2,0,11,48,5.0,0.0,5.0,5.0,1,6.666666666666667,0,0,heating_up
nlb_suba_dawasak,2026-01-05,181,83,51,0,0.0,3.0,5.0,7.0,0.0843373493975903,18,0,0,1,2,10.0,5.802298395176403,3.0,17.0,18,10.0,1,0,cooling_down
nlb_suba_dawasak,2025-11-22,137,39,6,0,0.0,5.0,7.0,7.0,0.1794871794871795,14,5,1,11,47,3.6666666666666665,2.560381915956203,1.0,9.0,14,16.666666666666664,1,0,cooling_down
nlb_suba_dawasak,2025-12-08,153,55,29,0,1.0,1.0,1.0,1.0,0.0181818181818181,1,0,0,12,50,0.0,0.0,0.0,0.0,1,3.333333333333333,0,1,heating_up
nlb_suba_dawasak,2025-11-11,126,28,53,1,1.0,1.0,1.0,1.0,0.0357142857142857,6,1,0,11,46,0.0,0.0,0.0,0.0,6,3.333333333333333,0,0,heating_up
nlb_suba_dawasak,2025-10-29,113,15,64,0,0.0,0.0,0.0,0.0,0.0,999,2,0,10,44,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-10-31,115,17,18,0,2.0,3.0,3.0,3.0,0.1764705882352941,2,4,0,10,44,5.5,2.5,3.0,8.0,2,10.0,1,0,heating_up
nlb_suba_dawasak,2025-11-21,136,38,29,0,0.0,0.0,0.0,0.0,0.0,999,4,0,11,47,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-12-10,155,57,13,0,1.0,1.0,3.0,3.0,0.0526315789473684,1,2,0,12,50,24.0,6.0,18.0,30.0,1,3.333333333333333,0,1,heating_up
nlb_suba_dawasak,2025-10-27,111,13,4,0,3.0,3.0,3.0,3.0,0.2307692307692307,2,0,0,10,44,2.0,1.0,1.0,3.0,2,10.0,1,0,heating_up
nlb_suba_dawasak,2025-12-22,167,69,48,0,0.0,2.0,4.0,4.0,0.0579710144927536,27,0,0,12,52,4.333333333333333,3.39934634239519,1.0,9.0,27,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2026-01-07,183,85,32,0,0.0,2.0,2.0,4.0,0.0470588235294117,14,2,0,1,2,56.0,40.03331945600648,8.0,106.0,14,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2025-12-06,151,53,5,0,1.0,5.0,8.0,9.0,0.1698113207547169,3,5,1,12,49,18.375,31.90586740710868,1.0,102.0,3,16.666666666666664,1,0,cooling_down
nlb_suba_dawasak,2025-10-19,103,5,46,0,0.0,0.0,0.0,0.0,0.0,999,6,1,10,42,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2026-01-03,179,81,8,1,1.0,6.0,12.0,18.0,0.2222222222222222,10,5,1,1,1,4.0,2.869720215917757,1.0,13.0,10,20.0,1,0,cooling_down
nlb_suba_dawasak,2025-11-25,140,42,0,1,3.0,6.0,7.0,7.0,0.1666666666666666,1,1,0,11,48,23.0,39.08537663457609,2.0,110.0,1,20.0,1,0,heating_up
nlb_suba_dawasak,2025-12-15,160,62,24,0,1.0,4.0,7.0,9.0,0.1451612903225806,2,0,0,12,51,19.625,33.58175658002422,2.0,107.0,2,13.333333333333334,1,0,cooling_down
nlb_suba_dawasak,2025-12-24,169,71,16,0,1.0,2.0,4.0,4.0,0.056338028169014,8,2,0,12,52,12.333333333333334,4.027681991198191,9.0,18.0,8,6.666666666666667,0,0,heating_up
nlb_suba_dawasak,2025-10-30,114,16,62,0,0.0,0.0,0.0,0.0,0.0,999,3,0,10,44,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-10-23,107,9,36,0,1.0,1.0,1.0,1.0,0.1111111111111111,2,3,0,10,43,0.0,0.0,0.0,0.0,2,3.333333333333333,1,0,heating_up
nlb_suba_dawasak,2025-10-24,108,10,54,0,0.0,0.0,0.0,0.0,0.0,999,4,0,10,43,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-11-26,141,43,19,0,0.0,1.0,1.0,1.0,0.0232558139534883,27,2,0,11,48,0.0,0.0,0.0,0.0,27,3.333333333333333,0,0,cooling_down
nlb_suba_dawasak,2025-10-20,104,6,17,1,0.0,0.0,0.0,0.0,0.0,999,0,0,10,43,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-11-25,140,42,32,0,0.0,0.0,2.0,2.0,0.0476190476190476,33,1,0,11,48,106.0,0.0,106.0,106.0,33,0.0,0,1,stable
nlb_suba_dawasak,2025-11-13,128,30,21,0,0.0,0.0,0.0,0.0,0.0,999,3,0,11,46,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-11-17,132,34,51,0,0.0,2.0,2.0,2.0,0.0588235294117647,15,0,0,11,47,14.0,0.0,14.0,14.0,15,6.666666666666667,0,0,cooling_down
nlb_suba_dawasak,2025-11-03,118,20,26,0,0.0,0.0,0.0,0.0,0.0,999,0,0,11,45,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-11-20,135,37,2,0,2.0,4.0,5.0,5.0,0.1351351351351351,1,3,0,11,47,8.0,7.0,1.0,15.0,1,13.333333333333334,1,0,heating_up
nlb_suba_dawasak,2025-12-01,146,48,21,0,0.0,0.0,0.0,0.0,0.0,999,0,0,12,49,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
nlb_suba_dawasak,2025-12-27,172,74,67,0,0.0,2.0,3.0,4.0,0.054054054054054,12,5,1,12,52,15.0,9.41629792788369,3.0,26.0,12,6.666666666666667,0,0,cooling_down
