1_pattern,1_prize,1_total,1_winners,2_pattern,2_prize,2_total,2_winners,3_pattern,3_prize,3_total,3_winners,4_pattern,4_prize,4_total,4_winners,5_pattern,5_prize,5_total,5_winners,6_pattern,6_prize,6_total,6_winners,7_pattern,7_prize,7_total,7_winners,8_pattern,8_prize,8_total,8_winners,9_pattern,9_prize,9_total,9_winners,draw_date,draw_id,game,letter,numbers,raw_text,source,super_prize_pattern,super_prize_prize,super_prize_total,super_prize_winners,url
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,000,000.00",4,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 465,000.00",93,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 422,000.00",211,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,078,800.00",5394,Letter and Any Number Correct,Rs. 200.00,"Rs. 708,000.00",3540,Any Number Correct,Rs. 40.00,"Rs. 3,621,800.00",90545,Letter Correct,Rs. 40.00,"Rs. 658,760.00",16469,,,,,2025-10-03,4213,govisetha,D,34;40;68;75,"4213 Friday October 03, 2025 D 34 40 68 75",nlb,Letter and 4 Numbers Correct,"Rs. 63,438,033.60",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00","Rs. 2,000,000.00",1,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 500,000.00",2,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 485,000.00",97,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 440,000.00",220,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,097,600.00",5488,Letter and Any Number Correct,Rs. 200.00,"Rs. 721,200.00",3606,Any Number Correct,Rs. 40.00,"Rs. 3,627,640.00",90691,Letter Correct,Rs. 40.00,"Rs. 663,080.00",16577,,,,,2025-10-02,4212,govisetha,W,28;32;54;61,"4212 Thursday October 02, 2025 W 28 32 54 61",nlb,Letter and 4 Numbers Correct,"Rs. 63,353,606.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,750,000.00",7,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 465,000.00",93,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 468,000.00",234,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,107,600.00",5538,Letter and Any Number Correct,Rs. 200.00,"Rs. 710,000.00",3550,Any Number Correct,Rs. 40.00,"Rs. 3,624,360.00",90609,Letter Correct,Rs. 40.00,"Rs. 666,640.00",16666,,,,,2025-10-01,4211,govisetha,G,08;09;19;23,"4211 Wednesday October 01, 2025 G 08 09 19 23",nlb,Letter and 4 Numbers Correct,"Rs. 63,195,436.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 500,000.00",2,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 525,000.00",105,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 406,000.00",203,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,098,200.00",5491,Letter and Any Number Correct,Rs. 200.00,"Rs. 728,800.00",3644,Any Number Correct,Rs. 40.00,"Rs. 3,623,880.00",90597,Letter Correct,Rs. 40.00,"Rs. 655,720.00",16393,,,,,2025-09-30,4210,govisetha,I,33;34;46;68,"4210 Tuesday September 30, 2025 I 33 34 46 68",nlb,Letter and 4 Numbers Correct,"Rs. 62,911,180.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,500,000.00",6,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 465,000.00",93,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 420,000.00",210,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,095,600.00",5478,Letter and Any Number Correct,Rs. 200.00,"Rs. 713,200.00",3566,Any Number Correct,Rs. 40.00,"Rs. 3,552,960.00",88824,Letter Correct,Rs. 40.00,"Rs. 649,680.00",16242,,,,,2025-09-29,4209,govisetha,P,10;22;53;60,"4209 Monday September 29, 2025 P 10 22 53 60",nlb,Letter and 4 Numbers Correct,"Rs. 62,733,682.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00","Rs. 2,000,000.00",1,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 750,000.00",3,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 390,000.00",78,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 336,000.00",168,Any 2 Numbers Correct,Rs. 200.00,"Rs. 884,800.00",4424,Letter and Any Number Correct,Rs. 200.00,"Rs. 580,000.00",2900,Any Number Correct,Rs. 40.00,"Rs. 2,904,360.00",72609,Letter Correct,Rs. 40.00,"Rs. 534,040.00",13351,,,,,2025-09-28,4208,govisetha,U,05;29;75;76,"4208 Sunday September 28, 2025 U 05 29 75 76",nlb,Letter and 4 Numbers Correct,"Rs. 62,733,682.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,000,000.00",4,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 405,000.00",81,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 440,000.00",220,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,020,400.00",5102,Letter and Any Number Correct,Rs. 200.00,"Rs. 673,800.00",3369,Any Number Correct,Rs. 40.00,"Rs. 3,375,760.00",84394,Letter Correct,Rs. 40.00,"Rs. 608,120.00",15203,,,,,2025-09-27,4207,govisetha,J,21;33;72;73,"4207 Saturday September 27, 2025 J 21 33 72 73",nlb,Letter and 4 Numbers Correct,"Rs. 62,523,748.40",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,000,000.00",4,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 445,000.00",89,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 412,000.00",206,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,057,000.00",5285,Letter and Any Number Correct,Rs. 200.00,"Rs. 686,400.00",3432,Any Number Correct,Rs. 40.00,"Rs. 3,478,120.00",86953,Letter Correct,Rs. 40.00,"Rs. 639,200.00",15980,,,,,2025-09-26,4206,govisetha,J,08;25;49;66,"4206 Friday September 26, 2025 J 08 25 49 66",nlb,Letter and 4 Numbers Correct,"Rs. 62,301,545.60",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 250,000.00",1,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 555,000.00",111,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 414,000.00",207,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,084,000.00",5420,Letter and Any Number Correct,Rs. 200.00,"Rs. 698,000.00",3490,Any Number Correct,Rs. 40.00,"Rs. 3,535,480.00",88387,Letter Correct,Rs. 40.00,"Rs. 641,040.00",16026,,,,,2025-09-25,4205,govisetha,Y,09;17;60;68,"4205 Thursday September 25, 2025 Y 09 17 60 68",nlb,Letter and 4 Numbers Correct,"Rs. 62,005,899.20",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
4 Numbers Correct,"Rs. 2,000,000.00",Rs. 0.00,0,Letter and Any 3 Numbers Correct,"Rs. 250,000.00","Rs. 1,500,000.00",6,Any 3 Numbers Correct,"Rs. 5,000.00","Rs. 510,000.00",102,Letter and Any 2 Numbers Correct,"Rs. 2,000.00","Rs. 404,000.00",202,Any 2 Numbers Correct,Rs. 200.00,"Rs. 1,067,400.00",5337,Letter and Any Number Correct,Rs. 200.00,"Rs. 724,000.00",3620,Any Number Correct,Rs. 40.00,"Rs. 3,583,360.00",89584,Letter Correct,Rs. 40.00,"Rs. 658,240.00",16456,,,,,2025-09-24,4204,govisetha,Q,33;39;62;73,"4204 Wednesday September 24, 2025 Q 33 39 62 73",nlb,Letter and 4 Numbers Correct,"Rs. 61,821,716.80",Rs. 0.00,0,https://www.nlb.lk/results/govisetha
