feature,mean_abs_shap
appearance_rate,0.011438549175033797
days_since_last,0.0073793981390329905
draw_sequence,0.004321324008502306
frequency_last_10,0.002964255162011785
draw_id,0.00271785321483781
current_gap,0.0025659663973253005
frequency_last_30,0.002139666314003588
mean_gap,0.0018071881264006813
temperature_score,0.0016308709188049995
frequency_last_50,0.0011108003784923717
frequency_all_time,0.0010459358009809931
max_gap,0.0009943233065027623
std_gap,0.000849819414324784
month,0.0003206678967386477
is_hot,0.00029659205503410285
week_of_year,0.00020161167995320572
day_of_week,6.313173641528355e-05
min_gap,2.1767718050840867e-05
is_weekend,0.0
is_cold,0.0
trend,0.0
