draw_id,draw_sequence,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
161,63,0.0,0.0,4.0,4.0,0.0634920634920634,38,1,0,12,51,3.6666666666666665,0.4714045207910317,3.0,4.0,38,0.0,0,1,stable
3239,109,0.0,3.0,5.0,8.0,0.073394495412844,58,5,1,10,40,16.142857142857142,15.651823914059817,2.0,53.0,58,10.0,1,0,cooling_down
2171,72,1.0,3.0,5.0,6.0,0.0833333333333333,8,4,0,1,4,10.0,7.429670248402684,3.0,22.0,8,10.0,1,0,stable
5914,57,4.0,14.0,25.0,31.0,0.543859649122807,1,3,0,8,32,1.8333333333333333,1.343709624716425,1.0,7.0,1,46.66666666666666,0,0,cooling_down
2856,757,1.0,1.0,2.0,39.0,0.0515191545574636,10,6,1,7,27,19.94736842105263,22.25917595346745,1.0,95.0,10,3.333333333333333,0,0,heating_up
2135,36,1.0,1.0,1.0,1.0,0.0277777777777777,28,0,0,6,25,0.0,0.0,0.0,0.0,28,3.333333333333333,0,1,heating_up
4604,1025,1.0,1.0,4.0,63.0,0.0614634146341463,2,2,0,5,19,16.774193548387096,15.924640427235165,1.0,85.0,2,3.333333333333333,0,0,heating_up
2649,550,1.0,2.0,2.0,31.0,0.0563636363636363,4,2,0,12,49,18.23333333333333,17.044419093129054,2.0,84.0,4,6.666666666666667,0,0,heating_up
4680,1101,1.0,4.0,5.0,49.0,0.0445049954586739,9,3,0,7,30,24.375,23.098182648569274,2.0,102.0,9,13.333333333333334,1,0,cooling_down
4286,187,0.0,0.0,1.0,7.0,0.0374331550802139,45,0,0,12,51,12.666666666666666,10.338708279513884,1.0,29.0,45,0.0,0,1,stable
3155,35,0.0,0.0,0.0,0.0,0.0,999,1,0,5,19,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
2408,309,1.0,2.0,2.0,15.0,0.0485436893203883,8,4,0,3,13,20.428571428571427,20.88989600505567,1.0,84.0,8,6.666666666666667,0,0,heating_up
4120,541,0.0,0.0,1.0,29.0,0.0536044362292051,50,3,0,12,52,19.607142857142858,18.61324276214247,2.0,79.0,50,0.0,0,1,stable
2574,475,0.0,1.0,2.0,25.0,0.0526315789473684,14,3,0,3,11,19.166666666666668,18.12380264244296,1.0,80.0,14,3.333333333333333,0,0,cooling_down
2195,96,2.0,5.0,6.0,12.0,0.125,3,0,0,2,8,8.090909090909092,6.021998240610616,2.0,23.0,3,16.666666666666664,1,0,heating_up
5007,1428,0.0,3.0,4.0,88.0,0.0616246498599439,13,3,0,6,26,17.50574712643678,18.57564439452067,1.0,94.0,13,10.0,1,0,cooling_down
2363,264,1.0,3.0,3.0,16.0,0.0606060606060606,9,0,0,8,33,16.8,20.34436859018568,1.0,78.0,9,10.0,1,0,stable
3557,427,0.0,1.0,2.0,28.0,0.0655737704918032,19,1,0,9,36,18.25925925925926,17.595438366325375,1.0,68.0,19,3.333333333333333,0,1,cooling_down
5167,1588,0.0,2.0,3.0,21.0,0.0132241813602015,20,2,0,12,49,13.25,12.59315290147785,1.0,48.0,20,6.666666666666667,1,0,cooling_down
4037,458,0.0,1.0,1.0,27.0,0.0589519650655021,11,4,0,10,40,20.884615384615383,17.252261664615997,1.0,65.0,11,3.333333333333333,0,0,cooling_down
2194,95,1.0,3.0,3.0,9.0,0.0947368421052631,3,0,0,12,51,10.25,9.01041064547005,1.0,25.0,3,10.0,1,0,stable
2233,134,1.0,3.0,3.0,7.0,0.0522388059701492,4,4,0,10,40,15.666666666666666,23.570226039551585,2.0,67.0,4,10.0,1,0,stable
2789,690,1.0,2.0,3.0,35.0,0.0507246376811594,7,1,0,10,43,20.5,17.31244027384049,1.0,74.0,7,6.666666666666667,1,0,heating_up
4259,160,0.0,0.0,2.0,6.0,0.0375,45,1,0,11,47,17.8,12.796874618437112,3.0,38.0,45,0.0,0,1,stable
3699,120,0.0,2.0,2.0,6.0,0.05,61,2,0,10,42,27.2,35.11353015576759,3.0,97.0,61,6.666666666666667,1,0,cooling_down
4148,1018,0.0,1.0,2.0,77.0,0.0756385068762279,11,2,0,5,18,14.552631578947368,14.422565229931685,1.0,87.0,11,3.333333333333333,0,1,cooling_down
720,618,0.0,0.0,0.0,30.0,0.0485436893203883,140,6,1,7,27,41.172413793103445,30.82550328533652,1.0,116.0,140,0.0,0,1,stable
4258,1128,2.0,3.0,5.0,85.0,0.075354609929078,2,2,0,8,34,14.714285714285714,15.488529879337458,1.0,87.0,2,10.0,1,0,heating_up
2395,296,3.0,6.0,7.0,20.0,0.0675675675675675,2,4,0,9,37,15.052631578947368,18.61372918378861,1.0,82.0,2,20.0,1,0,heating_up
3733,154,1.0,1.0,2.0,8.0,0.0519480519480519,1,1,0,11,47,33.0,27.06605676066295,2.0,84.0,1,3.333333333333333,0,0,heating_up
630,528,2.0,4.0,5.0,44.0,0.0833333333333333,9,1,0,2,9,26.162790697674417,21.042515360030578,2.0,86.0,9,13.333333333333334,1,0,heating_up
2280,75,1.0,4.0,5.0,5.0,0.0666666666666666,7,0,0,8,35,9.25,6.49519052838329,2.0,19.0,7,13.333333333333334,1,0,cooling_down
4922,1343,2.0,3.0,5.0,77.0,0.0573343261355175,6,2,0,3,13,19.026315789473685,19.326810995834208,1.0,93.0,6,10.0,1,0,heating_up
2220,121,0.0,1.0,3.0,6.0,0.0495867768595041,19,5,1,1,2,15.4,6.529931086925803,7.0,27.0,19,3.333333333333333,0,1,cooling_down
4428,849,0.0,0.0,0.0,0.0,0.0,999,3,0,11,45,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
3386,256,0.0,2.0,5.0,22.0,0.0859375,15,5,1,3,9,15.047619047619047,15.812822375335877,1.0,66.0,15,6.666666666666667,0,0,cooling_down
670,571,6.0,14.0,20.0,261.0,0.457092819614711,1,2,0,9,39,2.246153846153846,1.8854158425685,1.0,12.0,1,46.66666666666666,0,0,heating_up
2857,758,1.0,1.0,3.0,44.0,0.0580474934036939,2,0,0,7,28,16.86046511627907,12.288359769724291,1.0,54.0,2,3.333333333333333,0,0,heating_up
1923,36,0.0,2.0,2.0,2.0,0.0555555555555555,14,3,0,7,29,2.0,0.0,2.0,2.0,14,6.666666666666667,0,0,cooling_down
1904,17,0.0,0.0,0.0,0.0,0.0,999,5,1,6,26,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
2155,56,0.0,1.0,3.0,3.0,0.0535714285714285,40,0,0,8,35,63.0,42.0,21.0,105.0,40,3.333333333333333,0,1,cooling_down
2990,891,0.0,0.0,2.0,48.0,0.0538720538720538,45,0,0,11,47,17.80851063829787,17.13480754769937,1.0,74.0,45,0.0,0,1,stable
2759,660,1.0,2.0,3.0,24.0,0.0363636363636363,9,6,1,9,38,28.60869565217392,21.94209599285233,3.0,97.0,9,6.666666666666667,0,0,heating_up
3970,840,2.0,6.0,9.0,66.0,0.0785714285714285,4,1,0,10,44,13.876923076923076,16.109727297799534,1.0,75.0,4,20.0,1,0,stable
4672,1093,1.0,1.0,1.0,65.0,0.0594693504117108,5,2,0,7,29,18.4375,20.896227978991806,1.0,108.0,5,3.333333333333333,0,0,heating_up
4332,753,0.0,5.0,6.0,43.0,0.0571049136786188,12,5,1,8,31,17.214285714285715,20.06481843365422,1.0,105.0,12,16.666666666666664,1,0,cooling_down
2719,620,0.0,2.0,4.0,29.0,0.0467741935483871,13,2,0,2,7,21.464285714285715,27.40109766161247,1.0,116.0,13,6.666666666666667,0,0,cooling_down
2686,587,1.0,3.0,3.0,32.0,0.0545144804088586,2,3,0,7,28,19.32258064516129,15.711896246565887,2.0,66.0,2,10.0,1,0,stable
145,20,3.0,5.0,5.0,5.0,0.25,5,1,0,7,27,2.75,1.7853571071357126,1.0,5.0,5,16.666666666666664,0,0,heating_up
1940,53,1.0,3.0,3.0,3.0,0.0566037735849056,7,6,1,8,31,8.5,5.5,3.0,14.0,7,10.0,1,0,stable
4399,820,1.0,2.0,3.0,40.0,0.048780487804878,8,2,0,10,41,23.23076923076923,24.5925374739632,1.0,118.0,8,6.666666666666667,0,0,heating_up
342,240,1.0,2.0,3.0,10.0,0.0416666666666666,11,1,0,6,26,63.22222222222222,51.291709916640905,4.0,184.0,11,6.666666666666667,0,0,heating_up
2293,194,0.0,0.0,3.0,12.0,0.0618556701030927,38,1,0,12,49,13.272727272727272,15.829149802534388,1.0,50.0,38,0.0,0,1,stable
2200,101,1.0,2.0,4.0,6.0,0.0594059405940594,9,6,1,12,51,9.8,4.955804677345547,5.0,18.0,9,6.666666666666667,0,0,heating_up
2814,715,0.0,2.0,2.0,33.0,0.0461538461538461,18,5,1,11,46,22.0,18.238009759839475,1.0,64.0,18,6.666666666666667,0,0,cooling_down
4300,721,0.0,1.0,2.0,42.0,0.058252427184466,21,1,0,7,27,19.536585365853657,18.30913081681113,1.0,79.0,21,3.333333333333333,0,0,cooling_down
3891,312,0.0,1.0,2.0,21.0,0.0673076923076923,14,3,0,5,18,19.15,21.23505356715636,2.0,92.0,14,3.333333333333333,0,0,cooling_down
4360,781,0.0,0.0,0.0,0.0,0.0,999,5,1,9,35,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
3439,309,0.0,0.0,2.0,11.0,0.0355987055016181,45,0,0,5,18,33.3,22.81687971656072,2.0,74.0,45,0.0,0,1,stable
2619,520,0.0,1.0,3.0,22.0,0.0423076923076923,18,6,1,11,44,24.0,24.8155097430926,1.0,100.0,18,3.333333333333333,0,1,cooling_down
4833,1254,1.0,3.0,5.0,59.0,0.0470494417862838,2,4,0,12,52,22.879310344827587,22.97455683127188,1.0,82.0,2,10.0,1,0,stable
4470,1340,0.0,0.0,1.0,96.0,0.0716417910447761,47,6,1,3,12,14.715789473684213,14.641443096760602,1.0,64.0,47,0.0,0,1,stable
3215,85,0.0,2.0,3.0,3.0,0.0352941176470588,24,2,0,8,31,26.5,23.5,3.0,50.0,24,6.666666666666667,0,0,cooling_down
5190,1611,0.0,0.0,0.0,13.0,0.0080695220360024,55,4,0,12,52,21.0,17.88388473831492,2.0,61.0,55,0.0,0,1,stable
4108,9,0.0,0.0,0.0,0.0,0.0,999,4,0,6,25,0.0,0.0,0.0,0.0,999,0.0,0,1,stable
2837,738,1.0,2.0,3.0,36.0,0.048780487804878,9,0,0,12,50,21.0,18.60261118384037,2.0,92.0,9,6.666666666666667,1,0,heating_up
4217,638,0.0,1.0,1.0,29.0,0.0454545454545454,25,2,0,4,14,21.071428571428573,17.568089113561577,1.0,92.0,25,3.333333333333333,0,0,cooling_down
3495,365,1.0,2.0,3.0,20.0,0.0547945205479452,9,2,0,7,27,21.157894736842103,24.66888762430318,1.0,85.0,9,6.666666666666667,0,0,heating_up
5133,1554,1.0,1.0,3.0,79.0,0.0508365508365508,7,3,0,10,44,21.243589743589745,21.96161330386756,1.0,118.0,7,3.333333333333333,0,0,heating_up
2359,154,1.0,2.0,2.0,3.0,0.0194805194805194,4,2,0,11,46,71.0,49.0,22.0,120.0,4,6.666666666666667,0,0,heating_up
2353,148,0.0,0.0,1.0,6.0,0.0405405405405405,31,3,0,11,45,20.0,13.130118049735882,2.0,31.0,31,0.0,0,1,stable
5058,1479,1.0,3.0,7.0,82.0,0.0554428668018931,4,5,1,8,33,19.41975308641976,20.79106182451694,1.0,95.0,4,10.0,1,0,stable
2751,652,0.0,2.0,5.0,34.0,0.0521472392638036,18,5,1,9,37,18.0,17.52400950384669,1.0,66.0,18,6.666666666666667,1,0,cooling_down
3986,407,0.0,4.0,4.0,20.0,0.0491400491400491,13,2,0,8,33,24.57894736842105,23.385366070694463,1.0,90.0,13,13.333333333333334,1,0,cooling_down
3858,728,0.0,1.0,1.0,49.0,0.0673076923076923,15,1,0,7,28,16.0,13.651922941476046,1.0,57.0,15,3.333333333333333,0,1,cooling_down
409,307,0.0,2.0,2.0,17.0,0.0553745928338762,40,4,0,12,48,42.6875,44.0677301860443,3.0,152.0,40,6.666666666666667,0,0,cooling_down
2407,308,0.0,1.0,2.0,7.0,0.0227272727272727,24,3,0,9,39,46.0,45.90570044486124,4.0,115.0,24,3.333333333333333,0,1,cooling_down
4601,1471,0.0,3.0,4.0,95.0,0.0645819170632222,20,4,0,8,32,16.46808510638298,18.4608280672598,1.0,88.0,20,10.0,1,0,cooling_down
4135,36,0.0,1.0,1.0,1.0,0.0277777777777777,13,3,0,7,29,0.0,0.0,0.0,0.0,13,3.333333333333333,0,1,cooling_down
2421,322,0.0,1.0,1.0,8.0,0.0248447204968944,27,3,0,10,41,41.57142857142857,30.08966193067049,7.0,98.0,27,3.333333333333333,0,1,cooling_down
2310,211,0.0,1.0,1.0,8.0,0.0379146919431279,24,4,0,12,51,25.571428571428573,19.90590108382898,4.0,57.0,24,3.333333333333333,0,0,cooling_down
