feature,importance
draw_sequence,26.570950824611085
current_gap,18.42958640938732
days_since_last,15.409410306029542
appearance_rate,11.539506163896458
draw_id,6.303845667943371
max_gap,6.032161476476645
month,4.224291260432083
week_of_year,2.1135378302525867
temperature_score,2.073427228951707
frequency_last_30,1.8529459506611847
mean_gap,0.9781707556825502
frequency_last_50,0.8837955884509072
std_gap,0.8318629442761686
frequency_all_time,0.5961151960600584
frequency_last_10,0.5867560252198657
is_hot,0.5648741440794597
trend,0.28951786042096594
day_of_week,0.23981928320802126
min_gap,0.22073325759153223
is_cold,0.20195875695218143
is_weekend,0.05673306941633279
